i	j	k	Dose(Gy)
227	0	0	1.38561e-08
228	0	0	1.55998e-08
229	0	0	1.41653e-08
230	0	0	1.43831e-08
231	0	0	1.65308e-08
232	0	0	1.3165e-08
233	0	0	1.31818e-08
234	0	0	1.42713e-08
235	0	0	1.5348e-08
236	0	0	1.35809e-08
237	0	0	1.43336e-08
238	0	0	1.65911e-08
239	0	0	1.43025e-08
240	0	0	1.28017e-08
241	0	0	1.3828e-08
242	0	0	1.18304e-08
243	0	0	1.25721e-08
244	0	0	1.35095e-08
245	0	0	1.30113e-08
246	0	0	1.37081e-08
247	0	0	1.05387e-08
248	0	0	1.08212e-08
249	0	0	1.16658e-08
250	0	0	1.05471e-08
251	0	0	9.90462e-09
252	0	0	9.69878e-09
253	0	0	1.00513e-08
254	0	0	1.04521e-08
255	0	0	1.05816e-08
256	0	0	1.00834e-08
257	0	0	1.05054e-08
258	0	0	1.13943e-08
259	0	0	1.15451e-08
260	0	0	1.2068e-08
261	0	0	1.10653e-08
262	0	0	1.25972e-08
263	0	0	1.22618e-08
264	0	0	8.82137e-09
265	0	0	8.70997e-09
266	0	0	9.27183e-09
267	0	0	9.17985e-09
268	0	0	9.21752e-09
269	0	0	9.82263e-09
270	0	0	9.90945e-09
271	0	0	1.02667e-08
272	0	0	1.16666e-08
273	0	0	1.164e-08
274	0	0	9.42485e-09
275	0	0	1.00537e-08
276	0	0	1.01841e-08
277	0	0	1.0487e-08
278	0	0	1.0997e-08
279	0	0	1.15694e-08
280	0	0	1.19892e-08
281	0	0	1.13322e-08
282	0	0	1.52582e-08
283	0	0	9.50286e-09
284	0	0	9.92496e-09
285	0	0	1.08497e-08
286	0	0	9.95725e-09
287	0	0	1.15159e-08
288	0	0	1.30937e-08
289	0	0	1.00889e-08
290	0	0	1.00276e-08
291	0	0	1.01374e-08
292	0	0	1.2152e-08
293	0	0	8.85003e-09
294	0	0	9.4277e-09
295	0	0	8.78811e-09
296	0	0	7.57178e-09
297	0	0	7.7318e-09
298	0	0	7.68446e-09
299	0	0	7.95094e-09
300	0	0	8.03067e-09
301	0	0	8.18818e-09
302	0	0	8.17965e-09
303	0	0	8.42093e-09
304	0	0	8.65536e-09
305	0	0	8.84062e-09
306	0	0	9.53865e-09
307	0	0	1.05346e-08
308	0	0	9.90986e-09
309	0	0	7.84056e-09
310	0	0	7.62306e-09
311	0	0	8.08804e-09
