i	j	k	LDT	LTT	proton_D	proton_T	deuteron_D	deuteron_T	triton_D	triton_T	H4_D	H4_T	He3_D	He3_T	alpha_D	alpha_T	He6_D	He6_T	He8_D	He8_T	Li4_D	Li4_T	Li6_D	Li6_T	Li7_D	Li7_T	Li8_D	Li8_T	Li9_D	Li9_T	Be6_D	Be6_T	Be7_D	Be7_T	Be8_D	Be8_T	Be9_D	Be9_T	Be10_D	Be10_T	Be11_D	Be11_T	B8_D	B8_T	B9_D	B9_T	B10_D	B10_T	B11_D	B11_T	B12_D	B12_T	B13_D	B13_T	C9_D	C9_T	C10_D	C10_T	C11_D	C11_T	C12_D	C12_T	C13_D	C13_T	C14_D	C14_T	C15_D	C15_T	N12_D	N12_T	N13_D	N13_T	N14_D	N14_T	N15_D	N15_T	N16_D	N16_T	N17_D	N17_T	O14_D	O14_T	O15_D	O15_T	O16_D	O16_T	O16_1_D	O16_1_T	O17_D	O17_T	O18_D	O18_T	O19_D	O19_T	O21_D	O21_T	F16_D	F16_T	F17_D	F17_T	F18_D	F18_T	F19_D	F19_T	F20_D	F20_T	F21_D	F21_T	F22_D	F22_T	F23_D	F23_T	Ne18_D	Ne18_T	Ne19_D	Ne19_T	Ne20_D	Ne20_T	Ne21_D	Ne21_T	Ne22_D	Ne22_T	Ne23_D	Ne23_T	Na20_D	Na20_T	Na21_D	Na21_T	Na22_D	Na22_T	Na23_D	Na23_T	Na24_D	Na24_T	Na25_D	Na25_T	Na26_D	Na26_T	Mg23_D	Mg23_T	Mg24_D	Mg24_T	Mg25_D	Mg25_T	Mg26_D	Mg26_T	Al24_D	Al24_T	Al25_D	Al25_T	Al26_D	Al26_T	Al27_D	Al27_T	Al28_D	Al28_T	Si27_D	Si27_T	Si28_D	Si28_T	Si29_D	Si29_T	Si30_D	Si30_T	P29_D	P29_T	P30_D	P30_T
0	0	0	163.484	106.529	9.85811	3.97579	14.3042	6.25761	15.3698	8.24371	3.75487	3.75487	245.355	41.8079	245.534	50.437	57.5364	49.5863	0	0	0	0	59.0105	38.0151	71.8668	40.4738	45.0805	44.5183	28.4733	28.4773	0	0	164.116	53.6398	44.5282	34.6267	162.693	81.9069	63.6283	63.5963	0	0	38.208	38.2125	103.424	66.8746	211.686	94.6541	206.659	92.5241	0	0	0	0	0	0	378.413	177.256	325.946	156.541	195.383	109.194	243.151	119.694	378.259	79.2872	0	0	0	0	350.02	154.028	248.735	140.373	263.53	125.958	634.346	289.002	0	0	97.1941	96.7424	237.948	129.246	330.323	173.261	162.577	107.371	471.642	299.271	287.126	286.954	0	0	766.312	608.656	215.872	215.872	637.735	363.108	480.909	368.567	751.403	310.181	843.033	628.034	5.1678	2.34085	0	0	0	0	332.718	332.493	387.745	386.81	1106.39	862.11	1160.24	1159.24	1.62994	1.43171	0	0	0	0	0	0	1117.05	866.944	785.334	785.334	820.98	820.735	0	0	0	0	0	0	1656.76	1457.51	1457.71	1457.71	0	0	0	0	0	0	0	0	1570.1	1368.3	1924.49	1924.49	0	0	1822.73	1801.73	0	0	0	0	0	0	0	0
1	0	0	154.033	106.854	9.83736	3.99243	13.0949	5.81501	14.0313	6.93	0	0	227.721	38.7318	224.271	47.3751	66.614	48.3169	0	0	0	0	87.9983	40.2513	46.0212	42.0539	41.4935	40.5132	28.8197	28.8329	57.6942	57.6942	113.545	58.091	32.0345	42.5055	159.575	90.2368	66.8399	66.8474	0	0	38.4263	38.4301	0	0	164.156	92.2566	132.094	90.7809	0	0	0	0	0	0	59.9384	59.9281	277.95	111.181	217.535	111.411	263.281	118.567	138.611	99.4108	0	0	0	0	274.064	137.938	306.999	142.337	235.641	131.374	257.819	257.48	280.576	275.632	98.6401	98.1977	189.547	130.056	319.816	195.996	152.853	108.234	437.069	289.346	275.532	260.229	0	0	0	0	0	0	594.339	374.528	529.829	373.821	769.194	425.919	331.993	331.662	0	0	0	0	0	0	374.675	374.228	455.92	454.465	702.318	699.33	1112.78	764.973	1.29039	1.43171	0	0	0	0	0	0	1199.98	945.178	1175.63	946.716	1301.27	1086.32	0	0	0	0	0	0	1366.11	1359.55	1747.11	1747.11	1434.71	1429.24	0	0	0	0	1791.99	1791.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	157.567	107.422	8.69494	3.62884	12.733	5.82802	13.8719	6.51549	0	0	228.379	35.4209	252.048	53.0365	114.138	68.6716	0	0	0	0	51.4417	38.5494	74.1438	45.6028	41.9651	39.5893	29.3364	29.3373	0	0	75.9123	61.9501	87.6403	50.6256	91.3275	74.6994	70.6515	70.6373	0	0	38.7942	38.7991	42.7711	42.7711	196.706	102.765	194.237	99.3311	0	0	0	0	0	0	60.8462	60.8499	123.806	88.0953	212.298	113.128	264.848	118.543	160.364	111.883	0	0	141.866	141.864	208.161	144.152	249.418	134.877	279.354	134.735	286.882	279.609	318.748	299.612	100.274	99.6707	215.022	131.054	390.096	207.48	156.163	109.313	430.565	299.458	325.52	294.76	0	0	0	0	0	0	581.158	374.988	528.828	384.538	601.134	380.377	381.664	380.491	0	0	0	0	0	0	439.86	438.692	581.39	577.338	1106.03	1106.01	925.469	699.375	994.178	778.331	0	0	0	0	0	0	1258.02	972.104	1392.04	1388.22	1569.91	1569.91	0	0	0	0	0	0	1620.24	1475.04	1450.78	1450.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2159	2159	0	0	0	0	0	0	0	0
3	0	0	158.474	107.971	9.41563	3.62765	13.1895	5.90839	13.7733	6.77933	0	0	191.539	32.6733	239.294	50.5422	454.505	107.167	0	0	0	0	60.1613	41.7397	51.7329	45.9035	52.4407	45.7939	29.8628	29.8554	0	0	108.687	68.0793	38.1482	44.1703	128.234	77.1305	75.2349	75.2101	0	0	39.1851	39.1971	44.6121	44.6121	195.279	99.6162	237.306	119.88	0	0	0	0	93.9598	93.9792	61.7617	61.7555	227.842	93.8628	209.115	112.256	172.139	116.214	234.221	118.292	0	0	144.19	143.124	387.284	149.449	260.426	138.038	271.086	133.63	428.457	302.948	515.447	310.997	101.939	101.276	259.329	133.956	366.952	209.837	156.735	110.343	478.664	307.783	557.238	318.363	0	0	0	0	0	0	607.9	379.84	620.255	397.859	587.333	408.743	733.517	538.122	0	0	0	0	0	0	557.382	553.493	1016.92	811.059	714.141	712.496	923.768	699.303	1.30458	1.43171	0	0	0	0	1451.24	1451.24	1176.79	900.2	1430.98	1430.98	0	0	0	0	0	0	0	0	1564.83	1563.14	1374.53	1374.53	0	0	0	0	0	0	0	0	1987.09	1987.09	1871.87	1871.87	0	0	2151.38	2141.6	0	0	0	0	0	0	0	0
4	0	0	161.079	108.692	8.48757	3.37199	12.4531	5.67723	13.8323	6.63516	0	0	208.526	36.5025	247.511	48.1751	109.275	57.5581	0	0	0	0	74.6008	43.2403	66.6131	48.0936	64.031	51.2365	30.4275	30.4229	0	0	141.504	68.2653	78.3393	69.1049	153.226	77.8193	119.668	103.88	0	0	39.6211	39.6291	0	0	201.827	90.6229	288.72	105.578	0	0	0	0	97.1446	97.1696	62.7087	62.7134	212.497	93.6811	214.684	113.046	219.503	130.036	182.719	126.646	0	0	131.862	115.254	301.461	124.047	268.765	138.951	261.318	132.633	327.492	323.451	301.493	298.815	103.43	102.972	219.775	131.786	395.657	215.833	159.565	111.505	406.443	278.451	238.158	237.417	0	0	0	0	144.779	143.807	536.984	397.474	571.644	437.874	624.16	458.74	814.518	628.966	0	0	0	0	0	0	965.718	748.768	504.081	501.9	820.861	635.654	982.796	750.98	1.28528	1.43171	0	0	0	0	0	0	1020.24	818.385	861.824	859.692	714.075	711.921	0	0	0	0	0	0	0	0	1196.49	1196.49	1.33428	1.48229	0	0	0	0	2039.1	2039.1	1783.75	1783.75	0	0	0	0	2149.17	2149.17	2185.09	2185.09	0	0	0	0	0	0
5	0	0	163.804	109.207	9.13286	3.362	12.4975	5.49969	12.5961	6.51687	0	0	210.714	34.8975	224.972	45.3489	270.831	68.9709	0	0	0	0	79.034	43.7589	79.3879	51.2886	109.436	49.4101	31.0419	31.0481	65.9846	65.9846	134.667	66.2088	107.269	45.7406	148.321	81.9307	223.42	98.3476	0	0	40.0656	40.0736	0	0	198.849	100.041	165.893	95.5893	0	0	0	0	102.017	102.027	65.9851	65.5123	189.21	79.2594	204.384	111.286	230.528	138.576	284.558	139.982	0	0	139.801	121.871	243.491	124.845	313.696	139.016	253.804	138.532	582.994	438.668	515.225	392.499	169.196	141.784	216.293	133.38	431.348	213.116	161.796	112.514	407.793	300.762	263.275	262.165	0	0	0	0	0	0	626.584	423.501	669.216	477.155	658.276	420.772	0	0	0	0	0	0	0	0	1013.48	805.936	911.631	692.824	1038.84	823.022	818.25	655.354	1.55195	1.43171	0	0	0	0	0	0	1219.8	1022.06	1300.56	1291.92	1190.61	946.161	0	0	0	0	1363.58	1034.49	2.19458	1.21512	1464.87	1457.81	1.32542	1.48229	0	0	0	0	1684.79	1684.79	1720.3	1720.3	0	0	0	0	0	0	0	0	3.48232	3.48232	0	0	2426.12	2426.12
6	0	0	162.254	109.852	8.0819	3.18959	11.9154	5.17544	13.1106	6.57986	0	0	179.921	32.0554	231.322	44.4125	402.81	117.168	0	0	0	0	69.7592	44.326	75.7368	54.3695	54.3082	48.0823	31.7012	31.7028	0	0	166.101	66.2646	48.6172	47.2845	155.899	85.5464	234.882	85.6834	0	0	40.5194	40.5356	0	0	176.69	97.5094	184.004	95.6903	0	0	0	0	107.847	107.883	88.9665	84.9462	119.263	84.3992	219.399	113.477	294.76	142.86	378.373	132.171	0	0	153.694	130.342	232.617	119.384	255.47	133.336	297.261	136.575	0	0	616.489	483.486	198.919	162.987	196.619	133.009	423.997	206.103	160.494	113.566	463.814	339.77	299.263	297.045	0	0	0	0	0	0	685.273	435.353	641.117	473.174	661.919	483.065	0	0	0	0	0	0	0	0	513.634	512.18	0	0	1102.05	1102.05	895.119	639.879	0	0	0	0	0	0	0	0	0	0	1300.45	1299.3	1400.45	1397.23	0	0	0	0	1320.63	1204.53	2.03803	1.21512	1516.48	1516.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	166.312	110.555	8.51485	3.37187	11.9498	5.32721	12.9832	6.87848	0	0	180.227	33.2928	226.479	42.9693	189.454	50.4908	0	0	0	0	95.9015	46.5224	113.498	53.554	130.214	55.246	32.4129	32.4113	0	0	148.953	61.8841	91.8319	42.1897	151.474	85.6419	107.413	97.7037	0	0	345.148	70.1989	0	0	192.676	105.479	224.655	102.792	0	0	92.3498	92.3503	114.932	114.877	91.8896	86.0419	240.23	93.4355	216.746	114.786	279.445	130.041	139.795	98.6913	0	0	167.902	142.908	247.909	132.978	293.351	134.812	291.254	134.615	0	0	0	0	272.864	198.066	215.174	136.539	395.446	197.112	164.326	114.886	568.382	350.862	326.613	307.485	0	0	0	0	126.354	127.696	535.408	401.165	703.122	475.689	673.081	551.232	465.598	465.029	0	0	0	0	0	0	908.089	691.312	0	0	1092.53	750.171	938.221	684.839	1.28685	1.43171	0	0	0	0	0	0	1156.75	914.97	1314.78	1006.08	1309.07	1307.84	0	0	0	0	1418.11	1418.11	1475.25	1472.49	1860.5	1860.5	1567.47	1225.78	0	0	0	0	1720.52	1720.52	1787.69	1787.69	0	0	0	0	0	0	3.33096	3.33096	0	0	2402.29	2402.29	0	0
8	0	0	167.604	111.211	8.28519	3.31191	11.4103	5.14899	12.6086	6.57067	0	0	230.519	36.7072	219.474	41.81	76.6169	53.5364	0	0	0	0	97.1511	45.967	91.3521	49.4427	51.2981	46.7799	33.2005	33.2031	0	0	121.975	56.7474	34.8345	38.9234	151.222	85.9362	210.771	128.583	0	0	41.4771	41.4878	47.5194	47.5194	219.434	107.31	168.991	96.3355	0	0	94.9429	94.8626	123.697	123.585	168.017	115.889	221.455	93.7988	217.298	117.586	238.677	127.409	181.693	117.179	0	0	180.853	147.179	351.565	130.713	286.848	130.54	269.203	133.069	0	0	0	0	524.967	237.61	240.496	135.445	405.851	199.46	165.787	116.055	420.653	325.241	550.276	358.061	0	0	0	0	131.857	131.857	657.445	424.875	692.246	467.183	877.17	708.039	546.875	534.237	0	0	0	0	0	0	0	0	564.672	564.305	865.733	656.907	786.122	655.831	1.28969	1.43171	0	0	0	0	0	0	1182.28	735.044	1386.85	1386.59	0	0	0	0	0	0	0	0	1365.34	1365.34	1529.78	1516.14	1395.96	1391.36	0	0	0	0	1899.29	1899.29	1639.35	1639.35	0	0	0	0	2169.12	2169.12	2215.25	2215.25	0	0	0	0	0	0
9	0	0	168.522	111.883	8.10313	3.25988	10.8515	5.04951	13.6592	6.44714	0	0	184.147	30.8899	232.838	41.0943	300.496	81.6517	0	0	0	0	95.6143	44.5139	72.7088	51.7999	56.7613	50.1817	54.5369	44.4208	0	0	141.841	57.6278	37.614	43.3581	135.687	84.4614	246.803	117.626	0	0	42.0089	42.0201	46.1762	46.4462	233.85	107.236	215.803	99.819	0	0	99.7604	99.8088	135.02	134.87	312.466	99.0064	206.929	80.6795	234.7	116.526	227.786	130.168	330.084	118.026	0	0	224.265	170.799	273.373	138.544	247.047	126.92	257.595	128.687	0	0	0	0	575.78	140.63	209.644	131.258	406.366	191.903	166.711	117.243	544.337	335.067	484.263	347.909	0	0	0	0	0	0	595.716	419.833	616.293	459.09	899.246	738.436	837.741	518.229	0	0	0	0	0	0	509.061	454.395	954.854	736.623	971.698	702.023	1068.3	839.934	0	0	0	0	0	0	0	0	652.396	634.229	1348.01	799.318	1211.67	1003.11	0	0	0	0	0	0	1365.67	1362.39	1418.62	1185.6	1576.31	1576.31	0	0	0	0	0	0	0	0	0	0	0	0	2030.86	2030.86	2189.32	2189.32	0	0	0	0	0	0
10	0	0	170.935	112.766	8.53709	3.29901	11.6423	5.15086	11.8687	6.43376	0	0	146.782	29.0645	198.642	37.6307	64.9247	50.8747	0	0	0	0	87.0597	42.4691	119.775	56.0618	67.8078	56.0379	85.4602	69.9113	0	0	109.867	55.8132	84.9309	56.1544	125.513	92.8467	65.8443	65.8492	0	0	42.5229	42.5266	47.8512	47.8512	206.021	89.7678	194.997	98.711	0	0	105.355	105.315	150.582	150.445	95.5988	82.2929	150.569	74.2673	224.086	114.758	297.781	122.307	185.249	108.98	247.446	246.87	411.994	183.552	363.504	158.777	271.077	127.252	283.998	128.767	0	0	0	0	322.123	220.942	174.192	130.452	346.067	189.519	169.271	118.635	520.712	343.636	482.393	363.052	0	0	0	0	0	0	651.86	414.437	733.155	521.325	1036.41	551.387	841.255	639.606	0	0	0	0	0	0	841.95	452.503	0	0	963.295	606.35	653.29	646.701	638.779	619.367	0	0	0	0	0	0	1112.59	778.611	1116.64	818.591	0	0	0	0	0	0	0	0	1403.49	971.697	1474.62	1467.54	0	0	0	0	0	0	0	0	1748.82	1748.82	0	0	0	0	1853.45	1853.45	0	0	0	0	0	0	0	0
11	0	0	173.721	113.608	8.2091	3.22483	11.7136	5.18837	12.129	6.54465	0	0	197.692	31.8064	230.494	41.1268	231.402	88.1175	0	0	0	0	74.0613	43.1673	101.51	49.3356	110.617	55.5734	188.188	83.4654	0	0	128.524	52.4634	75.0148	46.3871	183.201	97.5936	62.851	61.9598	0	0	43.0765	43.0782	91.6275	73.9626	173.348	90.1235	217.252	93.0049	126.822	126.653	112.293	112.246	173.9	173.574	103.455	86.8542	144.991	76.3392	215.75	112.541	194.691	120.113	304.682	94.4065	323.324	319.339	440.882	182.251	300.005	147.207	263.002	128.731	240.684	123.991	0	0	0	0	566.488	147.761	179.564	132.671	382.065	193.564	171.907	119.95	487.258	339.254	580.276	383.056	0	0	0	0	0	0	680.994	457.799	772.203	540.929	523.114	516.094	521.562	521.562	0	0	0	0	0	0	490.677	481.392	0	0	842.132	561.043	1089.73	887.508	841.134	623.045	0	0	0	0	580.853	580.81	1180.23	887.359	1359.34	1206.98	1195.09	964.09	0	0	0	0	0	0	1342.19	1228.98	1697.37	1697.37	0	0	0	0	0	0	0	0	1783.01	1472.4	0	0	0	0	2194.35	2202.95	0	0	0	0	0	0	0	0
12	0	0	174.604	114.441	7.89109	3.17439	11.5707	5.18534	13.1841	6.74025	0	0	178.751	30.2812	219.513	39.3646	377.472	104.217	0	0	0	0	92.4545	44.6112	75.0551	47.9701	88.7857	51.3066	36.8877	36.883	0	0	119.09	56.6522	62.3396	46.934	200.651	97.6024	62.4991	60.7992	0	0	43.6619	43.6712	62.5957	62.5957	176.731	93.8173	166.222	96.131	142.205	142.072	121.056	121.067	215.318	214.172	115.679	93.155	153.191	81.1642	189.939	112.625	238.813	130.861	234.869	105.856	557.901	557.901	81.9492	81.9714	270.318	151.812	265.787	126.745	205.354	126.158	0	0	0	0	122.505	121.258	170.025	136.993	368.817	187.648	173.057	121.279	569.592	366.563	544.959	408.913	0	0	0	0	0	0	691.159	443.839	661.681	494.749	718.629	468.163	858.18	666.939	0	0	0	0	0	0	823.719	612.65	267.203	267.257	871.334	662.737	983.786	534.553	859.584	689.33	0	0	0	0	687.052	681.966	1041.31	792.426	1484.86	1484.86	0	0	0	0	0	0	0	0	1457.25	1435.28	0	0	1.59385	1.48229	0	0	0	0	1749.94	1747.99	1735.57	1732.33	0	0	0	0	0	0	2096	2096	0	0	0	0	0	0
13	0	0	176.236	115.302	7.99929	3.18874	11.302	5.02622	11.9078	6.5698	0	0	184.373	30.6598	211.079	38.5205	300.979	93.1653	21.8348	21.8344	91.9385	91.9385	73.3288	44.5468	96.0459	49.0779	94.8257	57.5554	38.0716	38.0516	0	0	102.064	56.5025	33.1937	39.5078	159.983	93.9334	91.0348	75.8499	0	0	44.2838	44.2845	57.4296	57.8153	231.118	96.403	221.989	103.798	145.23	136.848	132.366	132.313	423.758	310.081	139.62	103.155	144.091	79.322	212.447	115.474	241.806	131.646	318.094	96.3924	0	0	83.3228	83.2854	322.206	155.103	267.117	127.414	246.821	127.093	0	0	0	0	126.242	124.438	182.742	136.683	327.892	186.709	174.615	122.627	498.384	337.263	461.377	442.321	0	0	0	0	0	0	675.832	427.705	708.748	551.062	699.521	464.017	489.011	488.937	0	0	0	0	0	0	963.963	745.184	901.214	334.617	1056.17	884.443	492.014	483.051	1059.41	823.524	0	0	0	0	1065.38	822.307	1236.98	1018.82	2.19411	2.19411	1269.57	1153.5	0	0	0	0	1609.33	1609.33	1483.49	1464.88	1402.52	1145.15	1.40203	1.48229	0	0	0	0	1777.11	1777.11	1862.61	1862.61	0	0	0	0	0	0	2253.87	2253.87	0	0	0	0	0	0
14	0	0	178.001	116.213	7.73533	3.16643	11.1969	4.96428	13.2037	6.90336	0	0	177.198	29.8269	213.177	38.3492	286.407	87.7353	22.098	22.0922	0	0	86.9448	45.8188	86.1055	51.0505	94.4177	59.0058	39.3592	39.3691	0	0	97.6609	61.3421	27.9326	33.4113	181.129	87.94	191.29	89.7645	0	0	125.094	88.017	40.6207	40.6207	209.447	102.131	188.533	103.626	178.316	160.377	147.807	147.647	0	0	326.919	123.673	164.823	86.6688	214.417	114.722	274.941	140.894	137.354	84.0409	0	0	84.7214	84.7009	348.931	157.673	257.994	124.248	246.604	126.641	270.559	270.263	0	0	129.463	127.928	175.084	139.438	316.303	199.228	176.762	124.148	545.813	350.201	707.19	326.168	0	0	0	0	127.372	127.372	660.985	432.982	804.064	517.496	592.763	437.887	766.806	556.072	0	0	0	0	0	0	0	0	304.6	304.351	927.97	708.442	893.006	641.911	0	0	0	0	0	0	1219.85	1055.45	1081.61	1081.61	1170.96	955.082	1436.47	1434.37	0	0	0	0	1436.62	1436.62	1447.27	1242.51	1491.44	1485.11	1.37438	1.48229	0	0	0	0	1766.8	1766.61	1954.3	1954.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	0	0	179.753	117.356	7.60952	3.16521	10.616	4.96832	12.4791	6.76226	225.14	225.14	159.008	28.9782	211.101	37.4129	370.146	103.128	22.5429	22.5454	0	0	95.5027	45.6153	106.683	51.3034	126.973	61.3374	40.8391	40.8397	0	0	162.83	65.5141	45.9424	43.086	149.062	81.1052	89.7605	83.1502	0	0	334.677	140.508	47.9886	47.9886	194.822	99.2223	239.218	109.195	337.282	168.501	169.739	168.847	0	0	110.448	92.5544	204.397	83.0571	223.635	116.396	285.568	141.794	201.648	81.6722	0	0	86.3181	86.2451	270.849	141.728	237.497	123.038	221.59	128.747	326.176	324.381	0	0	134.138	131.796	173.278	143.99	408.786	206.703	178.558	125.693	474.02	340.049	267.891	267.321	0	0	0	0	0	0	709.991	471.456	654.454	494.34	690.56	488.69	710.462	454.782	0	0	0	0	0	0	0	0	332.933	332.846	1080.94	973.942	945.741	676.073	1.38859	1.43171	0	0	0	0	0	0	1362.7	1355.38	1357.13	1353.1	0	0	0	0	0	0	0	0	1511.27	1511.27	1750.79	1750.79	0	0	0	0	0	0	0	0	1850.92	1850.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	0	0	181.728	118.498	7.87196	3.19145	10.5597	4.93694	13.7766	6.88463	0	0	168.839	29.6413	201.376	36.5598	119.307	65.0716	23.022	23.0153	0	0	89.4501	43.6778	82.5912	48.1914	93.5722	53.8546	42.495	42.4815	0	0	136.766	56.0691	96.1676	46.2392	111.431	80.3442	102.575	94.3333	0	0	46.2161	46.2359	140.794	144.061	227.881	102.569	191.627	100.51	124.529	124.369	186.973	177.921	0	0	131.102	102.985	174.958	81.6121	223.813	113.119	301.93	143.801	208.223	87.6917	0	0	87.8487	87.8581	312.042	147.228	250.259	125.589	269.723	132.224	531.384	319.472	0	0	139.275	136.195	204.183	148.756	372.276	196.897	180.403	127.4	513.615	361.365	368.47	358.629	0	0	0	0	0	0	716.922	461.739	644.984	512.947	719.226	429.835	659.3	509.626	0	0	0	0	0	0	0	0	556.39	506.604	694.598	693.574	1027.58	797.011	1.28024	1.43171	0	0	0	0	0	0	1066.48	803.992	695.637	691.039	0	0	0	0	0	0	0	0	0	0	1510.65	1438.19	1658.35	1596.82	0	0	0	0	1711.95	1708.55	3.72933	3.72933	0	0	2004.48	2004.48	0	0	0	0	2.696	2.696	0	0	2443.11	2443.11
17	0	0	186.111	119.877	7.42325	3.13534	11.0075	5.05066	14.0018	6.85572	0	0	162.491	30.1845	207.639	36.9259	414.675	112.065	23.4983	23.4972	0	0	85.7396	43.3017	72.5003	49.6722	121.702	58.6258	44.2999	44.2658	0	0	105.524	53.4124	94.5233	53.598	117.63	87.9962	179.227	112.229	0	0	370.691	66.573	0	0	277.253	100.974	250.23	100.868	140.512	139.648	336.118	210.21	0	0	193.632	140.591	130.533	75.7936	210.142	110.686	294.687	137.098	159.08	92.2541	0	0	89.616	89.5792	276.329	140.201	246.724	126.084	250.048	126.985	207.115	206.966	0	0	144.485	141.041	219.977	154.18	380.155	198.253	184.714	129.236	524.604	375.406	619.77	437.23	0	0	0	0	0	0	753.198	371.124	784.734	482.456	660.24	414.812	804.058	565.938	0	0	0	0	0	0	0	0	946.331	557.876	1068.93	884.463	980.117	710.247	1.45158	1.43171	0	0	0	0	0	0	1234.4	1043.4	1282.33	1084.5	0	0	0	0	0	0	0	0	1462.72	1462.72	1425.92	1257.29	1492.03	1492.03	0	0	0	0	0	0	1906.4	1906.4	0	0	0	0	0	0	2256.2	2256.2	0	0	0	0	0	0
18	0	0	189.896	121.115	7.53031	3.17206	11.3507	5.11142	13.6644	6.79899	0	0	177.538	32.7089	222.956	37.0231	256.885	81.9688	23.9801	23.9769	0	0	89.2861	43.2165	104.61	52.9389	118.412	50.5476	46.395	46.3672	0	0	118.858	56.697	101.26	77.6694	162.343	94.7503	193.923	110.405	0	0	54.4587	54.0388	0	0	197.176	87.0633	170.443	96.8932	163.996	157.865	204.416	203.234	0	0	387.032	133.406	141.174	82.2433	197.571	110.195	270.907	129.789	344.878	100.518	0	0	91.4797	91.4368	306.017	133.171	255.709	123.573	247.221	124.682	230.73	230.499	0	0	150.263	146.611	223.435	157.628	352.387	196.183	188.776	130.99	550.92	386.734	484.3	478.723	0	0	0	0	133.391	133.391	673.937	428.597	673.256	461.476	692.136	434.054	525.246	519.532	0	0	0	0	0	0	993.156	791.594	543.797	540.686	1025.46	820.7	1001.9	768.086	1173.11	1173.11	0	0	0	0	0	0	0	0	1234.47	971.315	672.584	669.252	0	0	0	0	1592.59	1592.59	1855.91	1855.91	1539.74	1537.17	0	0	0	0	0	0	0	0	2042	2042	0	0	0	0	0	0	3.719	3.719	0	0	2448.91	2448.91	0	0
19	0	0	192.08	122.2	8.05983	3.25988	10.7713	5.03473	13.0957	6.70278	0	0	180.827	32.5599	193.478	35.1138	355.899	100.676	24.5019	24.4972	0	0	82.073	43.5783	91.6131	52.8653	60.1174	51.0457	48.9063	48.8866	0	0	111.398	61.9536	94.9871	63.8515	165.552	97.0659	188.856	80.297	0	0	123.957	87.1796	0	0	230.399	88.9099	211.405	104.212	271.672	175.307	388.29	290.694	0	0	78.0565	77.0104	181.931	88.1751	198.342	110.785	271.328	126.041	184.187	79.8147	0	0	93.4098	93.4058	174.003	135.236	231.628	122.575	209.42	123.74	266.349	265.351	0	0	157.878	152.966	233.084	160.128	386.475	194.488	190.836	132.568	605.264	409.819	812.131	808.412	0	0	0	0	0	0	724.494	469.115	698.69	505.755	429.135	422.961	886.351	692.521	436.035	435.332	0	0	0	0	0	0	969.482	750.464	1058.95	880.908	996.345	711.394	684.377	679.417	0	0	0	0	1204.78	988.711	1065.8	853.973	685.386	682.121	1223.92	942.714	0	0	0	0	0	0	8.98739	8.01867	0	0	1319.54	1256.18	1706.6	1706.6	0	0	1807.4	1809.9	1812.81	1820.46	0	0	0	0	0	0	2254.52	2254.52	3.09399	3.09399	0	0	2284.65	2284.65
20	0	0	192.66	123.318	7.64073	3.16451	11.094	5.08638	12.3678	6.68104	0	0	196.825	33.7347	206.148	37.0936	99.3115	63.6757	25.0622	25.0578	0	0	96.3003	44.5187	96.8079	54.1307	86.819	52.2665	51.9046	51.8707	0	0	149.881	65.0481	80.2816	43.8255	178.569	101.128	188.248	87.1442	0	0	276.052	91.4296	45.9951	45.9951	179.108	87.994	226.792	102.114	290.934	174.681	0	0	0	0	80.3948	79.049	187.514	79.1816	198.616	112.391	299.19	129.889	122.845	86.1495	0	0	95.5808	95.5556	302.396	152.434	245.893	123.874	239.314	127.316	481.684	337.883	0	0	166.986	160.54	259.92	158.723	319.967	191.085	191.466	134.223	564.919	389.728	308.212	307.97	487.179	486.773	0	0	213.545	206.753	777.791	516.678	696.705	459.382	716.334	535.34	759.063	520.488	549.819	545.722	0	0	0	0	0	0	0	0	1036.47	845.552	1018.19	768.406	1111.59	1007.94	0	0	0	0	0	0	1217.75	931.976	1185.28	945.663	0	0	0	0	0	0	0	0	1613.14	1657.06	1526.8	1526.8	1646.83	1634.58	0	0	0	0	1611.98	1611.98	0	0	0	0	0	0	0	0	2130.35	2140.44	0	0	0	0	0	0
