i	j	k	LDT	LTT	proton_D	proton_T	deuteron_D	deuteron_T	triton_D	triton_T	H4_D	H4_T	H5_D	H5_T	H6_D	H6_T	He3_D	He3_T	alpha_D	alpha_T	He5_D	He5_T	He6_D	He6_T	He7_D	He7_T	He8_D	He8_T	Li4_D	Li4_T	Li6_D	Li6_T	Li7_D	Li7_T	Li8_D	Li8_T	Li9_D	Li9_T	Li10_D	Li10_T	Be6_D	Be6_T	Be7_D	Be7_T	Be8_D	Be8_T	Be9_D	Be9_T	Be10_D	Be10_T	Be11_D	Be11_T	Be12_D	Be12_T	B7_D	B7_T	B8_D	B8_T	B9_D	B9_T	B10_D	B10_T	B11_D	B11_T	B12_D	B12_T	B13_D	B13_T	B14_D	B14_T	B15_D	B15_T	B16_D	B16_T	C10_D	C10_T	C11_D	C11_T	C12_D	C12_T	C13_D	C13_T	C14_D	C14_T	C15_D	C15_T	C16_D	C16_T	C17_D	C17_T	N11_D	N11_T	N12_D	N12_T	N13_D	N13_T	N14_D	N14_T	N15_D	N15_T	N16_D	N16_T	N17_D	N17_T	N18_D	N18_T	N19_D	N19_T	O13_D	O13_T	O14_D	O14_T	O15_D	O15_T	O16_D	O16_T	O16_1_D	O16_1_T	O17_D	O17_T	O18_D	O18_T	O19_D	O19_T	O20_D	O20_T	F14_D	F14_T	F15_D	F15_T	F16_D	F16_T	F17_D	F17_T	F18_D	F18_T	F19_D	F19_T	F20_D	F20_T	F21_D	F21_T	F22_D	F22_T	Ne16_D	Ne16_T	Ne17_D	Ne17_T	Ne18_D	Ne18_T	Ne19_D	Ne19_T	Ne20_D	Ne20_T	Ne21_D	Ne21_T	Ne22_D	Ne22_T	Ne23_D	Ne23_T	Na20_D	Na20_T	Na21_D	Na21_T	Na22_D	Na22_T	Na23_D	Na23_T	Na24_D	Na24_T	Na25_D	Na25_T	Na26_D	Na26_T	Mg23_D	Mg23_T	Mg24_D	Mg24_T	Mg25_D	Mg25_T	Mg26_D	Mg26_T	Mg27_D	Mg27_T	Al24_D	Al24_T	Al25_D	Al25_T	Al26_D	Al26_T	Al27_D	Al27_T	Al28_D	Al28_T	Si27_D	Si27_T	Si28_D	Si28_T	Si29_D	Si29_T	Si30_D	Si30_T	P29_D	P29_T	P30_D	P30_T
60	0	0	213.525	178.062	7.20878	2.99988	10.2888	4.77822	12.7641	6.36902	0	0	0	0	0	0	171.822	28.9314	182.321	28.9897	0	0	192.885	52.5028	0	0	0	0	0	0	88.6355	33.1774	108.694	46.008	111.355	53.7693	0	0	0	0	0	0	101.161	46.65	352.603	123.353	225.582	74.8248	211.325	75.6129	109.635	109.453	29.8149	29.8139	0	0	202.916	95.9411	88.553	88.553	186.922	82.0243	112.818	62.2394	322.376	100.701	53.1321	53.0598	0	0	0	0	0	0	265.766	143.21	215.933	130.625	160.311	127.834	145.807	101.771	123.611	96.5495	79.8199	79.836	104.902	104.886	0	0	0	0	439.325	282.287	312.497	215.841	306.568	207.233	229.447	175.726	136.589	133.043	679.604	679.604	0	0	0	0	0	0	0	0	504.189	366.799	389.426	285.404	210.086	209.876	787.769	621.017	976.54	799.02	0	0	0	0	0	0	0	0	0	0	986.531	891.129	977.292	840.542	915.68	706.126	924.019	749.707	0	0	0	0	0	0	0	0	1393.06	1393.06	1059.92	914.42	1105.06	872.067	1109.67	893.437	1190.51	976.907	1138.19	1028.05	1226.22	1226.22	1523.01	1523.01	1305.34	1109.23	1295.74	1118.73	1310.31	1124.71	1432.21	1427.87	0	0	1515.03	1502.43	1442.57	1336.39	1408.86	1280.94	1413.46	1202.09	0	0	0	0	1656.87	1656.87	1575.43	1478.39	1641.44	1634.87	1509.01	1509.01	0	0	1.9969	1.83012	0	0	0	0	0	0	0	0
61	0	0	230.363	192.309	7.35892	3.05317	10.3757	4.80587	12.4933	6.32876	0	0	0	0	0	0	179.048	29.2134	176.549	28.5175	0	0	317.83	60.0756	0	0	0	0	0	0	84.4818	31.7853	108.409	46.7169	105.971	51.6924	0	0	0	0	0	0	121.404	47.4532	154.704	127.945	156.983	66.9554	75.8958	59.1884	128.664	128.208	30.0221	30.0245	0	0	208.528	96.3845	0	0	165.578	78.6373	119.423	63.2029	81.0736	60.9293	53.8253	53.8121	0	0	0	0	0	0	271.39	142.984	225.269	133.791	178.288	136.348	147.264	104.49	144.62	98.8516	81.3141	81.3228	108.405	108.37	0	0	0	0	268.135	259.21	327.306	230.135	325.974	218.255	241.862	187.521	146.418	139.707	0	0	0	0	0	0	0	0	777.324	777.324	579.066	410.268	393.073	298.334	227.174	226.863	787.841	656.585	910.881	802.44	0	0	0	0	0	0	0	0	614.346	614.346	1234.02	1234.02	1001.86	948.107	961.02	858.513	968.613	825.259	0	0	0	0	0	0	0	0	0	0	1207.2	1207.2	1115.35	881.542	1131.72	940.461	1233.89	1159.81	1152.92	1152.92	1286.79	1286.79	1447.66	1447.66	1345.22	1176.96	1330.55	1158.26	1406.58	1353.71	1483.03	1483.03	0	0	1494.4	1470.17	1464.82	1379.19	1461.93	1394.16	1464.81	1367.91	0	0	0	0	1794.04	1794.04	1612.08	1583.31	1662.72	1650.85	2051.7	2051.7	1805.97	1786.91	1732.28	1478.74	0	0	0	0	0	0	0	0
62	0	0	252.246	211.175	7.50274	3.09566	10.5785	4.84378	12.0539	6.30448	0	0	0	0	0	0	182.136	28.9	179.983	28.3981	0	0	186.996	47.5469	0	0	0	0	0	0	81.1314	31.2403	109.125	45.3653	129.248	52.2189	0	0	0	0	0	0	106.645	45.6471	51.0601	66.9995	183.852	67.4672	89.821	66.0127	167.336	165.768	30.2277	30.229	0	0	162.675	80.8499	78.1602	78.1602	186.113	81.3865	120.866	65.3308	208.222	70.8962	54.6628	54.597	0	0	0	0	0	0	245.896	135.492	228.338	136.593	197.609	146.088	158.429	108.212	158.211	102.403	82.9045	82.8957	112.311	112.307	0	0	0	0	439.272	312.034	347.424	246.617	345.366	229.11	276.095	202.287	151.034	145.514	0	0	0	0	0	0	0	0	0	0	626.762	443.616	397.684	320.081	249.829	249.308	965.183	796.728	910.779	876.066	0	0	0	0	0	0	0	0	1266.09	1266.09	1024.56	1022.59	949.944	798.008	1028.89	1028.21	992.564	992.564	0	0	0	0	0	0	0	0	1301.35	1301.35	0	0	1191.78	1141.57	1186.93	1002.87	1174.25	1132.02	1190.07	1185.37	0	0	1400	1387.91	1368.52	1223.21	1388.11	1288.5	1438.45	1431.79	0	0	0	0	1648.37	1651.89	1518.55	1401.65	1496.44	1463.49	1533.77	1497.12	1554.12	1554.12	0	0	1646.11	1644.96	1687.45	1639.7	1681.76	1674.07	0	0	0	0	1898.52	1869.14	0	0	0	0	0	0	0	0
63	0	0	283.936	237.949	7.59219	3.13765	10.4182	4.81479	12.2013	6.30434	0	0	0	0	0	0	165.686	26.9991	175.249	27.7739	0	0	244.098	51.6643	0	0	0	0	0	0	79.0787	30.3883	120.253	43.5722	102.786	46.4535	0	0	0	0	0	0	97.9775	45.9711	491.031	491.031	192.813	64.9857	152.652	76.8498	318.607	252.137	30.4635	30.4623	0	0	102.722	87.198	0	0	156.91	78.2595	123.736	65.3239	54.1848	53.1721	55.5152	55.4022	0	0	0	0	0	0	145.867	134.44	225.212	140.851	226.495	156.922	162.462	112.226	136.813	102.655	84.5317	84.5442	116.592	116.529	0	0	0	0	489.882	350.656	382.799	266.477	372.156	238.87	313.076	218.145	162.436	153.796	0	0	0	0	0	0	0	0	0	0	651.724	473.437	444.534	361.376	282.066	281.056	794.938	631.88	58.485	54.2652	0	0	0	0	0	0	0	0	0	0	733.075	576.829	977.852	893.752	2.76113	2.76113	1146.15	1146.15	0	0	0	0	0	0	0	0	0	0	1263.19	1263.19	1268.64	1185.35	1236.7	1150.71	1213.99	1144.2	0	0	0	0	1447.75	1447.75	1468.7	1391.7	1492.26	1481.99	1479.95	1475.23	1375.33	1375.33	0	0	1619.64	1619.41	1578.79	1560.86	1576.98	1572.44	1577.74	1539.4	1529.43	1522.81	0	0	1692.83	1692.83	1739.63	1733.22	1754.63	1747.42	1820.32	1820.44	1944.2	1938.51	1981.2	1978.17	1986.2	1986.19	0	0	0	0	0	0
64	0	0	335.449	280.492	7.79918	3.17917	10.3343	4.80298	12.201	6.29231	0	0	0	0	0	0	168.243	26.3563	172.873	27.105	0	0	305.716	53.4943	0	0	0	0	0	0	81.9113	29.7447	101.805	39.8441	82.3422	40.9502	0	0	0	0	0	0	90.2075	45.2594	111.716	158.447	170.568	58.5785	188.678	65.6735	0	0	30.706	30.7064	0	0	165.598	90.734	0	0	169.691	78.4384	105.022	65.0931	55.053	54.015	56.3002	56.2597	0	0	0	0	0	0	215.811	147.846	230.194	143.065	255.84	166.211	154.909	114.671	130.389	106.007	86.2237	86.2049	121.403	121.415	0	0	0	0	578.067	453.028	428.329	294.148	384.489	246.476	359.287	233.058	176.087	164.454	0	0	0	0	0	0	0	0	0	0	714.248	541.259	540.224	424.663	333.939	331.388	894.273	818.897	1.30876	1.24438	0	0	0	0	0	0	0	0	0	0	642.977	544.418	1064.79	959.675	1193.4	1193.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1428.35	1439.97	1317.42	1316.27	1278.01	1211.67	0	0	0	0	0	0	1470.35	1463.46	1551.23	1551.51	1500.5	1496.05	1521.99	1521.43	0	0	1610.07	1610.07	1628.09	1622.82	1648.04	1649.17	1670.6	1615.66	1608.88	1608.6	0	0	0	0	1803.28	1803.16	1825.34	1825.21	1849.42	1852.84	1971.59	1971.44	2064.36	2062.03	2094.26	2095.39	2169.6	2169.6	2261.59	2261.59	0	0
65	0	0	490.475	357.899	7.8638	3.18794	10.3584	4.77756	12.2277	6.26832	0	0	0	0	0	0	147.449	24.9612	160.6	26.027	0	0	196.889	39.4601	0	0	0	0	0	0	72.0679	27.747	122.014	36.333	103.775	42.0347	0	0	0	0	0	0	87.22	45.3602	455.058	457.78	145.781	49.2148	153.709	56.2742	0	0	30.947	30.9472	0	0	115.12	98.8176	0	0	146.95	77.0464	89.8408	66.1559	56.0878	54.9064	57.3643	57.1467	0	0	0	0	0	0	223.762	154.981	242.225	147.374	271.242	172.612	178.38	120.129	151.015	111.847	88.0394	88.0405	126.896	126.868	0	0	0	0	0	0	478.992	318.026	393.084	249.506	389.338	239.714	197.681	179.106	0	0	0	0	0	0	0	0	0	0	787.834	630.53	685.168	516.269	490.634	424.726	971.777	539.787	1.43396	1.43396	0	0	0	0	0	0	0	0	0	0	817.281	633.171	417.292	417.292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1375.9	1384.19	1610.9	1586.79	1.3232	1.43171	0	0	0	0	1520.5	1520.5	1591.79	1594.24	1665.2	1672.72	1596.45	1609.88	0	0	0	0	1756.07	1756.82	1739.8	1745.34	1718.7	1724.37	1730.93	1651.73	0	0	0	0	1890.63	1890.63	1922.59	1934.03	1917.74	1923.54	1915.58	1917.07	2192.6	2192.6	2136.92	2138.02	2195.48	2193.48	2229.22	2153.31	2397.92	2400.37	2386.69	2398.4
66	0	0	716.037	373.095	7.71488	3.13456	9.96037	4.7005	12.0064	6.22097	0	0	0	0	0	0	161.516	25.1046	147.152	24.7818	0	0	163.43	40.8928	0	0	0	0	0	0	65.2935	26.7844	82.1364	30.599	59.1834	40.5611	0	0	0	0	0	0	88.7929	45.5032	496.883	496.883	89.057	46.1249	158.605	56.349	0	0	31.1961	31.1948	0	0	176.221	101.929	0	0	123.143	75.6852	92.4632	67.8015	57.0798	55.8532	58.2269	58.1071	0	0	0	0	0	0	275.698	167.693	266.772	151.024	286.518	178.694	173.893	122.161	160.75	114.041	90.0305	90.0454	133.388	133.408	0	0	0	0	0	0	489.656	318.719	396.104	253.607	408.72	238.704	237.96	202.415	0	0	0	0	0	0	0	0	0	0	450.306	285.353	758.917	620.886	718.625	555.001	845.669	484.665	1.15574	1.15574	0	0	0	0	0	0	0	0	0	0	911.219	781.454	1170.2	1170.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.43852	3.43852	1.29287	1.43171	0	0	0	0	1828.05	1828.05	1641.76	1642.89	1785.94	1753.25	0	0	0	0	0	0	1685.35	1685.35	1820.32	1824.66	1824.65	1817.26	1820.85	1737.53	0	0	0	0	1891.47	1891.47	1998.37	2006.19	1977.27	1983.83	1972.69	1974.21	2225.57	2230.19	2194.1	2197.46	2227.66	2227.81	2194.99	2158.35	2433.41	2434.34	2444.97	2445.13
67	0	0	666.862	27.6167	7.42208	3.06449	9.91453	4.65514	11.7619	6.17163	0	0	0	0	0	0	136.301	23.0132	128.924	23.607	0	0	229.047	40.3998	0	0	0	0	0	0	68.3657	26.4711	90.5784	30.1311	111.546	45.6137	0	0	0	0	0	0	93.8066	45.2229	313.154	357.572	114.196	45.6333	55.4384	44.8275	0	0	31.4357	31.4373	0	0	130.964	112.535	0	0	107.972	78.7804	91.2003	69.813	58.2902	56.8637	59.2754	59.1244	0	0	0	0	0	0	241.682	168.655	248.693	145.488	292.604	182.991	175.683	126.683	147.971	118.307	92.233	92.2118	141.099	141.052	0	0	0	0	0	0	483.201	311.507	407.863	258.116	387.735	227.987	348.381	212.158	0	0	0	0	0	0	0	0	0	0	759.938	338.448	762.84	359.826	777.021	688.504	1098.19	863.339	0	0	0	0	0	0	0	0	0	0	0	0	1031.53	933.214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1215.76	1215.76	0	0	0	0	0	0	0	0	0	0	1843.58	1843.58	1861.8	1861.8	1.33323	1.48229	0	0	0	0	0	0	2047.96	2047.96	0	0	0	0	0	0	2255.2	2255.2	2252.6	2252.19	0	0	0	0	0	0
68	0	0	236.618	15.0616	7.2177	3.0111	9.85552	4.61963	11.8788	6.16682	0	0	0	0	0	0	130.07	22.1776	120.935	23.3474	0	0	160.865	35.6149	0	0	0	0	0	0	59.1477	25.0635	78.7078	27.4377	94.1355	42.1904	0	0	0	0	0	0	64.2191	43.9549	217.763	217.763	87.7116	43.4533	60.439	47.1958	0	0	31.6857	31.6834	0	0	260.921	130.111	0	0	150.888	80.738	109.502	72.6968	59.4518	57.9343	60.3873	60.1967	0	0	0	0	0	0	249.213	176.304	223.031	149.001	311.605	187.739	190.326	133.886	184.84	122.961	94.5916	94.569	150.373	150.339	0	0	0	0	0	0	479.706	307.76	412.468	256.583	374.311	221.767	428.145	204.755	0	0	0	0	0	0	0	0	0	0	696.527	407.008	770.279	410.534	0	0	1138.59	1077.84	0.826093	0.811348	0	0	0	0	0	0	0	0	0	0	1288.39	1150.05	1274.84	1256.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.28069	1.43171	0	0	0	0	0	0	1548.42	1548.42	1755.28	1755.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	0	0	226.326	13.8677	7.08779	2.97908	9.63519	4.57173	12.1415	6.15404	0	0	0	0	0	0	129.316	21.993	129.098	23.5953	0	0	246.807	41.7188	0	0	0	0	14.8311	14.8311	55.3627	24.5905	67.481	25.5867	98.7547	42.4768	0	0	0	0	0	0	71.8681	45.6095	421.624	85.7819	104.094	41.3007	71.0354	50.7741	0	0	31.9581	31.9601	0	0	136.897	110.29	0	0	125.062	81.0572	112.676	72.6037	60.5619	59.1101	61.3904	61.3733	0	0	0	0	0	0	311.447	206.322	261.462	153.127	319.474	188.397	213.627	139.563	205.262	130.133	97.174	97.1735	162.11	161.967	0	0	0	0	0	0	463.895	299.085	392.97	258.143	362.406	215.944	179.684	175.356	0	0	0	0	0	0	0	0	0	0	423.732	420.587	726.316	402.161	0	0	1085.37	907.349	1118.39	1118.39	0	0	0	0	0	0	0	0	0	0	1247	1205.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.62994	1.43171	0	0	0	0	0	0	1643.27	1643.27	0	0	0	0	0	0	0	0	0	0	1780.56	1780.56	1854.08	1854.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	0	0	208.984	12.7307	7.05666	2.96274	9.48394	4.55131	11.8823	6.0837	0	0	0	0	0	0	112.149	21.1665	125.215	23.2676	0	0	153.664	29.2655	0	0	0	0	0	0	56.1528	24.3797	69.9141	25.5581	124.646	42.2811	0	0	0	0	0	0	71.0876	47.2874	297.759	289.572	51.5339	39.9879	97.8463	57.9516	0	0	32.2293	32.2333	0	0	266.65	111.127	0	0	124.429	83.5461	107.4	73.9589	62.1225	60.3477	62.7448	62.6003	0	0	0	0	0	0	338.634	216.227	236.49	154.837	315.953	184.43	224.602	144.868	190.005	130.448	100.051	100.026	177.429	177.306	0	0	0	0	0	0	428.876	298.767	402.453	266.365	339.094	214.311	207.725	192.297	0	0	0	0	0	0	0	0	0	0	869.878	719.226	730.376	350.436	0	0	1067.64	1012.43	1.03639	1.03639	0	0	0	0	0	0	0	0	0	0	1263.48	1061.41	1398.54	1398.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1770.16	1770.16	1.67044	1.48229	0	0	0	0	0	0	2009.7	2009.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	0	0	198.792	11.928	7.04403	2.93744	9.59132	4.5379	11.6402	6.0393	0	0	0	0	0	0	126.577	21.5568	123.24	23.2757	0	0	53.2356	27.7901	0	0	0	0	0	0	52.1919	23.73	70.3005	23.1018	109.058	38.4396	0	0	0	0	0	0	98.2257	49.0275	283.816	283.816	108.924	41.2242	163.863	47.0226	0	0	32.5008	32.5004	0	0	100.565	87.8044	0	0	151.636	86.3604	110.022	77.2789	63.5088	61.6669	64.1332	63.8638	0	0	0	0	0	0	317.903	212.757	277.307	157.719	309.162	181.652	244.084	148.789	226.633	135.734	103.224	103.208	198.828	198.406	0	0	0	0	0	0	505.05	294.059	421.273	276.751	331.739	215.13	221.522	210.711	0	0	0	0	0	0	0	0	0	0	1031.4	998.104	789.35	329.119	0	0	945.351	824.362	0	0	0	0	0	0	0	0	0	0	0	0	1161.59	1161.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1892.24	1892.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	0	0	192.714	11.2242	6.92777	2.9106	9.60992	4.51974	11.7196	6.00945	0	0	0	0	0	0	127.664	21.5579	126.163	23.2507	0	0	168.79	36.161	0	0	0	0	16.8509	16.8509	51.6104	23.5311	51.1524	22.5583	141.986	34.0109	0	0	0	0	0	0	89.7827	47.8134	279.968	279.968	52.0398	40.5508	65.3368	46.8166	0	0	32.7795	32.7793	0	0	126.487	100.573	0	0	160.291	85.6515	123.891	80.5527	65.9362	63.5039	65.5095	65.209	0	0	0	0	0	0	342.035	217.697	254.154	159.8	312.223	178.733	240.271	148.612	204.84	136.359	106.685	106.663	232.689	231.891	0	0	0	0	0	0	492.801	335.465	441.081	287.729	336.375	220.034	265.462	243.632	0	0	0	0	0	0	0	0	0	0	988.468	969.99	664.809	325.459	0	0	1011.33	1050.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1273.18	1273.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2052.24	2052.24	0	0	2.14223	1.83012	0	0	0	0	0	0	0	0
73	0	0	178.777	10.5866	6.98769	2.89901	9.57541	4.50615	11.5447	5.97448	0	0	0	0	0	0	117.477	21.1148	125.335	23.1312	0	0	257.009	43.5801	0	0	0	0	0	0	49.3663	22.9841	39.4481	21.6691	118.833	25.3058	0	0	0	0	0	0	101.731	48.4757	231.162	231.162	85.6677	42.5699	86.6633	52.1424	0	0	33.0628	33.0598	0	0	246.237	94.4506	0	0	143.017	86.1539	144.412	81.1461	67.6624	64.9275	66.9478	66.6538	0	0	0	0	0	0	367.603	245.064	247.493	162.725	299.728	173.015	250.425	153.369	221.655	145.734	110.583	110.576	296.294	294.006	0	0	0	0	0	0	504.145	387.202	453.188	293.484	334.46	225.089	463.391	271.503	0	0	0	0	0	0	0	0	0	0	992.776	992.776	688.328	279.154	0	0	1112.55	1093.48	0	0	0	0	0	0	0	0	0	0	0	0	1334.3	1334.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1432.92	1432.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	0	0	167.819	10.1033	6.78155	2.86764	9.63865	4.4942	11.5613	5.95538	0	0	0	0	0	0	128.924	21.1983	124.054	22.999	0	0	158.713	32.9501	0	0	0	0	0	0	45.275	23.0927	51.5382	22.5601	17.5586	16.8723	0	0	0	0	0	0	97.7644	46.1659	483.806	483.806	81.0673	40.5994	178.872	44.539	0	0	33.3554	33.3593	0	0	83.6831	80.4267	0	0	156.51	85.7943	130.647	80.047	69.5648	66.7138	68.3678	68.1811	0	0	0	0	0	0	249.506	247.299	281.917	174.561	295.006	170.887	250.005	155.63	258.436	147.474	115.076	115.03	523.041	414.258	0	0	0	0	0	0	631.861	631.861	451.058	297.657	325.748	233.157	266.173	251.791	0	0	0	0	0	0	0	0	0	0	0	0	669.898	322.448	0	0	1038.48	1059.43	0	0	0	0	0	0	0	0	0	0	0	0	1259.31	1038.04	0	0	790.84	790.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	0	0	162.861	9.6989	6.84463	2.85761	9.54165	4.45341	11.344	5.92126	0	0	0	0	0	0	120.552	20.7518	116.068	22.6433	0	0	207.536	35.8734	0	0	0	0	0	0	50.7209	22.9701	39.3052	21.768	17.8054	16.9986	0	0	0	0	0	0	69.3788	44.8312	372.566	372.193	50.4543	40.2073	38.0689	36.8835	0	0	33.6666	33.6666	0	0	91.3435	86.1474	0	0	129.628	86.1635	127.504	81.7297	72.38	68.6949	70.3148	69.8911	0	0	0	0	0	0	472.058	363.698	313.88	174.584	288.592	169.432	261.126	158.68	253.168	149.347	120.133	120.095	0	0	0	0	0	0	0	0	1068.34	1068.34	467.038	308.124	347.038	249.635	439.094	308.579	0	0	0	0	0	0	0	0	0	0	720.584	471.793	857.757	344.64	0	0	1171.54	1129.99	573.007	426.304	0	0	0	0	0	0	0	0	0	0	1148.9	1148.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1598.24	1594.69	0	0	0	0	0	0	2.03742	1.21512	1687.41	1687.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	0	0	160.422	9.36158	6.73792	2.83965	9.32012	4.42033	11.5765	5.9151	0	0	0	0	0	0	92.0696	19.4531	122.84	22.9641	0	0	193.312	36.3233	0	0	0	0	0	0	35.6548	22.4052	42.9025	22.6871	17.9929	17.1336	0	0	0	0	0	0	61.7133	45.9931	0	0	78.9028	40.181	38.8457	37.4364	0	0	33.9858	33.9815	0	0	102.067	94.1432	0	0	143.034	88.1795	136.721	83.4142	74.8896	70.9392	72.1604	71.802	0	0	0	0	0	0	0	0	254.109	166.582	283.022	167.77	258.965	158.965	285.9	146.852	125.881	125.824	0	0	0	0	0	0	0	0	0	0	497.506	310.56	379.618	270.926	486.46	320.243	0	0	0	0	0	0	0	0	0	0	784.324	605.912	779.592	358.456	0	0	924.787	923.09	0	0	0	0	0	0	0	0	0	0	0	0	1315.02	1315.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1082.18	936.685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	0	0	156.754	9.08395	6.71115	2.82302	9.19005	4.39834	11.1451	5.86724	0	0	0	0	0	0	129.697	21.452	121.384	22.8336	0	0	201.114	32.8071	0	0	0	0	0	0	42.0127	22.79	55.0333	22.7978	18.1949	17.2667	0	0	0	0	0	0	72.1926	48.3337	518.176	518.176	44.8046	39.5942	39.4957	38.0353	0	0	34.3054	34.3092	0	0	124.361	106.907	0	0	144.614	89.4491	122.238	85.2957	78.3541	73.465	74.2756	73.8791	0	0	0	0	0	0	0	0	275.445	167.236	282.842	167.714	254.827	162.34	225.575	137.062	132.602	132.605	0	0	0	0	0	0	0	0	0	0	427.077	302.305	419.233	297.266	539.48	236.019	0	0	0	0	0	0	0	0	0	0	1050.1	916.954	772.969	393.237	0	0	1166.59	1140.78	126.009	126.009	0	0	0	0	0	0	0	0	0	0	1337.7	1337.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	0	0	159.032	8.73504	6.63149	2.81342	9.22485	4.40121	10.9878	5.86471	0	0	0	0	0	0	124.755	20.7152	117.337	22.676	0	0	59.6736	27.3097	0	0	0	0	0	0	40.0847	23.1362	45.3025	23.0792	18.302	17.4029	0	0	0	0	0	0	90.5205	50.1386	299.784	353.666	47.2739	40.7905	40.3362	38.6653	0	0	34.6375	34.64	0	0	260.619	122.4	420.413	420.413	155.544	93.0764	146.749	88.154	82.2238	76.4024	76.7056	76.1341	0	0	0	0	0	0	0	0	257.935	169.341	283.311	168.052	281.876	168.676	227.961	138.903	140.786	140.71	0	0	0	0	0	0	0	0	0	0	507.26	333.046	474.81	323.834	214.814	214.488	0	0	0	0	0	0	0	0	0	0	0	0	671.563	357.493	0	0	1048.38	946.549	0	0	0	0	0	0	0	0	0	0	0	0	1246.99	1242.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
