i	j	k	LDT	LTT	proton_D	proton_T	deuteron_D	deuteron_T	triton_D	triton_T	H4_D	H4_T	He3_D	He3_T	alpha_D	alpha_T	He6_D	He6_T	Li4_D	Li4_T	Li6_D	Li6_T	Li7_D	Li7_T	Li8_D	Li8_T	Li9_D	Li9_T	Be6_D	Be6_T	Be7_D	Be7_T	Be8_D	Be8_T	Be9_D	Be9_T	Be10_D	Be10_T	B8_D	B8_T	B9_D	B9_T	B10_D	B10_T	B11_D	B11_T	B12_D	B12_T	C10_D	C10_T	C11_D	C11_T	C12_D	C12_T	C13_D	C13_T	C14_D	C14_T	C16_D	C16_T	N12_D	N12_T	N13_D	N13_T	N14_D	N14_T	N15_D	N15_T	N16_D	N16_T	N17_D	N17_T	O14_D	O14_T	O15_D	O15_T	O16_1_D	O16_1_T	O16_D	O16_T	O17_D	O17_T	O18_D	O18_T	O19_D	O19_T	F16_D	F16_T	F17_D	F17_T	F18_D	F18_T	F19_D	F19_T	F20_D	F20_T	Ne17_D	Ne17_T	Ne18_D	Ne18_T	Ne19_D	Ne19_T	Ne20_D	Ne20_T	Ne21_D	Ne21_T	Ne22_D	Ne22_T	Na21_D	Na21_T	Na22_D	Na22_T	Na23_D	Na23_T	Na24_D	Na24_T	Mg24_D	Mg24_T	Mg25_D	Mg25_T	Mg26_D	Mg26_T	Al26_D	Al26_T	Al27_D	Al27_T	Al28_D	Al28_T	Si28_D	Si28_T	Si29_D	Si29_T	Si30_D	Si30_T	P30_D	P30_T
133	0	0	69.0103	5.09609	5.37475	2.41606	5.86003	3.0057	7.95716	3.32525	0	0	16.7785	13.0547	145.649	26.0852	0	0	0	0	21.7825	20.4445	31.8151	29.5016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119.451	119.297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134	0	0	43.6574	4.88575	5.77122	2.45267	5.5524	3.03386	8.04749	3.288	0	0	18.5352	13.6674	91.7067	23.5183	0	0	0	0	21.9989	20.7487	33.1763	30.4269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132.908	132.721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178.742	178.742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135	0	0	71.5075	5.13683	6.64781	2.48937	6.6124	3.14369	8.09065	3.26202	0	0	21.3115	14.5182	153.25	25.881	0	0	0	0	22.324	21.066	34.9804	31.5359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152.878	152.502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242.89	242.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136	0	0	62.0371	4.93861	5.10805	2.34125	7.76723	3.16718	6.24824	3.12498	0	0	27.9021	15.9722	132.122	24.1368	0	0	0	0	23.0985	21.4133	37.1107	32.8706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187.891	186.598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253.55	249.109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137	0	0	65.1231	5.00934	4.40741	2.3599	5.48483	3.04651	5.81773	3.17453	0	0	147.741	23.174	112.818	23.4826	0	0	0	0	23.3538	21.7873	39.8842	34.5062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281.264	274.219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468.574	300.924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138	0	0	83.5378	5.13406	6.20226	2.49874	7.05582	3.18233	8.63777	3.34143	0	0	189.705	20.2501	141.515	24.544	0	0	0	0	23.8553	22.1718	44.6131	36.6608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	510.838	485.999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	864.292	767.497	0	0	0	0	0	0	0	0	0	0	0	0	301.315	260.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139	0	0	40.5678	4.64135	6.08862	2.48229	7.21288	3.22271	6.41733	3.16372	0	0	16.1903	13.165	83.1936	21.2719	0	0	0	0	24.4557	22.5927	50.8876	39.8065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	804.232	553.843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140	0	0	32.7122	4.72481	5.84979	2.46455	6.6954	3.18454	8.17992	3.29948	0	0	17.3092	13.6654	70.2151	22.2599	0	0	0	0	25.374	23.039	68.6654	45.9667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.9355	26.9355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141	0	0	76.0521	5.15155	6.49368	2.56238	8.534	3.36783	5.99664	3.15817	0	0	18.6785	14.2684	135.905	25.4651	0	0	0	0	25.8991	23.5398	138.64	57.2985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.0852	48.0852	2.98604	2.98604	0	0	0	0	0	0	1202.54	1008.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142	0	0	55.2628	4.96545	6.23945	2.48762	9.9317	3.42911	8.43125	3.28955	0	0	20.8041	15.0524	72.0898	23.5398	0	0	0	0	26.5328	24.0713	35.5128	32.9395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1046.81	971.317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143	0	0	76.4736	5.24072	5.94746	2.5211	6.02127	3.08414	5.70349	3.13591	0	0	151.274	20.2918	143.26	27.9482	0	0	0	0	27.3798	24.6617	37.2496	34.2778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	526.736	520.205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161.222	161.222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
144	0	0	100.773	5.35572	6.54895	2.5412	7.28193	3.21181	8.1364	3.35532	0	0	32.4936	18.4212	157.218	27.932	0	0	0	0	28.0368	25.1233	39.05	35.8105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	589.074	477.401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	999.694	955.692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
145	0	0	72.1664	5.16238	6.07329	2.57165	7.51345	3.3039	8.82021	3.39436	0	0	96.5584	25.7876	130.385	25.5569	0	0	0	0	28.6017	24.989	41.6668	37.6698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	912.434	809.056	0	0	0	0	0	0	0	0	0	0	66.4831	61.7551	214.666	214.666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
146	0	0	77.109	5.18674	7.37019	2.55431	7.38236	3.2445	11.7512	3.54967	0	0	267.024	24.1981	145.401	27.2481	0	0	0	0	29.7682	25.7571	45.0636	40.0411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305.882	234.747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
147	0	0	50.1198	4.80545	5.90453	2.44264	8.59371	3.33291	11.0233	3.28372	0	0	30.2381	17.4039	114.884	24.2926	0	0	0	0	31.3282	26.6424	50.2518	43.174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	585.956	570.434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141.224	141.224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
148	0	0	55.4791	4.97849	6.66633	2.45094	8.22333	3.21269	5.30688	2.8258	0	0	181.958	24.6886	99.0272	26.1556	0	0	0	0	45.0704	29.0832	57.7351	47.741	0	0	0	0	0	0	0	0	438.437	438.437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	425.682	322.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
149	0	0	86.505	5.14666	5.64609	2.4084	7.2343	3.14612	5.98687	2.79748	0	0	23.396	16.2156	185.883	30.6719	0	0	0	0	35.5327	28.9411	75.5491	56.5552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	372.402	305.224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
150	0	0	72.946	4.99055	6.96292	2.47399	8.57749	3.22425	3.9655	2.71794	0	0	31.4546	18.0458	160.199	27.8784	0	0	0	0	38.6559	30.4949	143.766	71.9805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151	0	0	68.112	4.7836	6.28498	2.38275	7.3621	3.19943	5.38042	2.82965	0	0	180.453	25.8279	126.969	25.0784	0	0	0	0	42.8677	32.5401	53.8429	45.8036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	889.244	512.141	601.344	438.174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
152	0	0	52.2383	4.69849	5.67779	2.31717	8.69064	3.19723	4.63806	2.73935	0	0	26.7275	17.4395	109.571	25.9158	0	0	0	0	48.2579	35.5416	62.1505	51.224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	660.637	496.129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
153	0	0	75.1612	4.94611	5.19507	2.37749	8.06829	3.0553	3.9601	2.74221	0	0	55.4073	21.8168	163.877	28.9611	0	0	0	0	62.2424	40.7787	77.3386	60.6705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	502.639	395.637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
154	0	0	76.7402	4.80091	5.82603	2.36674	5.82534	2.88785	4.56087	2.81535	0	0	184.35	23.3827	145.478	27.0077	0	0	0	0	120.434	54.1796	157.068	93.3553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226.269	164.208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155	0	0	63.1719	4.52679	5.34399	2.27716	5.38554	2.85775	5.97674	2.85139	0	0	37.1281	19.1945	138.435	25.9467	0	0	0	0	129.085	49.3379	98.7266	65.2082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335.793	232.178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156	0	0	52.8682	4.46393	4.69456	2.26438	6.91343	2.97466	3.92276	2.75708	0	0	194.75	26.6634	87.8576	25.0118	0	0	0	0	39.7045	27.8293	203.559	90.8724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301.256	210.994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
157	0	0	59.3346	4.36997	5.44674	2.32227	6.28852	2.89884	4.16237	2.80626	0	0	31.0525	18.4107	142.768	26.5934	0	0	0	0	48.1644	30.5325	22.4932	22.4971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202.276	199.884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
158	0	0	44.3196	4.57774	6.16972	2.37705	7.94472	3.02978	4.43506	2.86659	0	0	70.0976	23.9454	93.2159	27.498	0	0	0	0	68.9137	36.3242	22.8102	22.8074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263.937	222.049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
159	0	0	124.157	5.09856	6.0058	2.37593	6.45553	2.85751	5.02684	2.9544	0	0	194.238	26.161	245.741	36.958	0	0	0	0	147.265	43.5867	23.1342	23.1286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105.247	105.247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
160	0	0	81.3934	4.52241	6.10672	2.35912	5.49073	2.83425	7.07019	3.08899	0	0	280.419	37.1543	151.328	28.1012	0	0	0	0	20.1377	19.7901	23.4614	23.4588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181.043	169.447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
161	0	0	73.5068	4.11393	5.16242	2.29797	6.84452	2.93146	6.89644	3.08982	0	0	74.9008	14.251	190.336	26.5257	0	0	0	0	20.6414	20.0368	23.8039	23.8086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456.935	313.143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
162	0	0	54.7897	3.94793	5.5833	2.31472	5.62775	2.86599	6.72653	3.08141	0	0	14.6723	12.9724	150.457	24.5305	0	0	0	0	20.6616	20.2877	24.1679	24.1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379.552	379.552	0	0	0	0	0	0	0	0	76.1733	68.4431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
163	0	0	81.5349	3.93268	5.39039	2.37029	6.53629	2.89384	7.93211	3.06128	0	0	14.962	13.3181	231.292	23.6057	0	0	0	0	21.1609	20.5598	24.5535	24.5606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369.064	308.137	0	0	0	0	0	0	0	0	0	0	848.842	713.932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164	0	0	28.3732	3.71384	7.09887	2.45489	5.53528	2.87573	6.36504	2.95233	0	0	15.6526	13.7073	70.8604	19.0964	0	0	0	0	21.3574	20.8399	24.9669	24.9646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	702.835	578.491	0	0	0	0	0	0	0	0	0	0	0	0	341.763	257.971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
165	0	0	41.6593	3.61131	5.73996	2.33368	6.93998	3.0071	4.45603	2.87858	0	0	16.3373	14.1471	143.326	18.5481	0	0	0	0	21.6497	21.118	25.4085	25.4111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.0458	32.0458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
166	0	0	11.0049	3.4659	4.95776	2.26428	8.70812	3.00508	5.7412	2.99964	0	0	17.0599	14.6402	22.9408	15.859	0	0	0	0	22.0882	21.4188	25.8775	25.8717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
167	0	0	20.4875	3.55299	5.5576	2.31622	6.65596	2.84033	6.14741	2.98718	0	0	17.9717	15.1915	28.4353	16.9639	0	0	0	0	22.4337	21.7357	26.3873	26.3803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	772.274	552.986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
168	0	0	31.2904	3.67026	5.48359	2.3309	4.44121	2.73777	6.90929	3.06536	0	0	19.1066	15.8447	94.4529	19.8384	0	0	0	0	22.9307	22.0855	26.965	26.9686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239.521	212.117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
169	0	0	13.8973	3.65117	6.12629	2.38077	5.68222	2.88844	4.94801	2.95638	0	0	20.3275	16.6381	33.3607	18.3851	0	0	0	0	23.3705	22.4448	27.565	27.5501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
170	0	0	38.0921	3.93287	5.57604	2.29314	8.84037	3.01967	7.10003	3.10411	0	0	22.2883	17.6032	104.315	23.0794	0	0	0	0	23.7729	22.8347	48.58	48.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314.116	290.617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
171	0	0	51.1926	3.92617	5.83565	2.36873	5.80407	2.81667	5.88565	3.04842	0	0	24.5421	18.8484	151	23.7685	0	0	0	0	24.3927	23.2406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212.008	212.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172	0	0	46.8654	3.99767	6.864	2.33292	5.64832	2.76694	8.33642	3.11403	0	0	28.4346	20.5691	122.422	24.7009	0	0	0	0	24.8425	23.6859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	558.626	431.499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
