i	j	k	Dose(Gy)	proton	proton_f	deuteron	deuteron_f	triton	triton_f	H4	H4_f	He3	He3_f	alpha	alpha_f	He6	He6_f	Li4	Li4_f	Li6	Li6_f	Li7	Li7_f	Li8	Li8_f	Li9	Li9_f	Be6	Be6_f	Be7	Be7_f	Be8	Be8_f	Be9	Be9_f	Be10	Be10_f	B8	B8_f	B9	B9_f	B10	B10_f	B11	B11_f	B12	B12_f	C10	C10_f	C11	C11_f	C12	C12_f	C13	C13_f	C14	C14_f	C16	C16_f	N12	N12_f	N13	N13_f	N14	N14_f	N15	N15_f	N16	N16_f	N17	N17_f	O14	O14_f	O15	O15_f	O16_1	O16_1_f	O16	O16_f	O17	O17_f	O18	O18_f	O19	O19_f	F16	F16_f	F17	F17_f	F18	F18_f	F19	F19_f	F20	F20_f	Ne17	Ne17_f	Ne18	Ne18_f	Ne19	Ne19_f	Ne20	Ne20_f	Ne21	Ne21_f	Ne22	Ne22_f	Na21	Na21_f	Na22	Na22_f	Na23	Na23_f	Na24	Na24_f	Mg24	Mg24_f	Mg25	Mg25_f	Mg26	Mg26_f	Al26	Al26_f	Al27	Al27_f	Al28	Al28_f	Si28	Si28_f	Si29	Si29_f	Si30	Si30_f	P30	P30_f
20	0	0	0.00023669	2.82839e-07	779	1.36304e-07	328	9.76579e-08	165	0	0	2.38271e-07	95	1.07123e-06	433	1.57661e-09	1	0	0	8.57845e-08	36	2.84331e-08	12	0	0	0	0	0	0	2.37775e-08	7	2.19891e-14	3	0	0	2.31518e-08	1	3.2315e-09	1	0	0	9.01431e-08	9	4.04724e-08	7	3.68033e-09	1	9.59309e-09	2	7.64008e-08	11	5.92923e-07	70	1.19678e-07	19	2.27091e-08	5	0	0	0	0	1.75182e-08	3	6.44863e-07	79	4.42984e-07	59	0	0	0	0	2.25176e-08	1	5.37201e-07	66	0.000199693	26724	5.13834e-07	38	6.82575e-08	3	1.79437e-07	3	0	0	0	0	2.23324e-07	4	4.11143e-08	1	1.83884e-08	1	1.08923e-07	2	0	0	2.51415e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	0	0	0.00023858	2.84248e-07	795	1.51807e-07	353	9.96352e-08	167	0	0	2.64285e-07	100	8.37086e-07	442	1.57697e-09	1	0	0	1.0229e-07	36	3.06131e-08	12	0	0	0	0	0	0	2.46419e-08	7	4.95486e-13	4	0	0	1.019e-08	1	3.21722e-09	1	0	0	7.06745e-08	10	4.89158e-08	8	3.45298e-09	1	9.64834e-09	2	7.33842e-08	11	6.19874e-07	71	1.5629e-07	20	2.36112e-08	5	0	0	1.43829e-09	1	1.79316e-08	3	7.01719e-07	84	4.26959e-07	59	0	0	0	0	2.52095e-08	1	5.75156e-07	68	0.000201484	26697	5.81783e-07	38	1.004e-07	7	5.57762e-08	1	0	0	0	0	2.29668e-07	4	5.64728e-08	1	1.90024e-08	1	8.72328e-08	2	0	0	3.00674e-08	1	0	0	5.98871e-13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	0	0	0.000240793	2.76382e-07	806	1.65494e-07	371	8.57209e-08	170	0	0	3.54735e-07	105	8.6762e-07	458	1.68566e-09	1	0	0	1.19513e-07	37	3.48744e-08	12	0	0	0	0	0	0	2.53691e-08	7	7.93357e-15	3	0	0	0	0	3.03533e-09	1	0	0	3.44124e-08	7	5.47261e-08	7	3.7977e-09	1	9.42372e-09	2	4.71564e-08	11	4.75621e-07	71	1.7769e-07	20	2.34676e-08	5	0	0	6.36943e-09	1	1.8857e-08	3	7.95867e-07	91	4.45616e-07	59	0	0	0	0	3.02546e-08	1	6.00796e-07	68	0.000203565	26677	6.64567e-07	39	1.47321e-07	7	1.90368e-14	1	0	0	0	0	3.78886e-08	1	7.73381e-08	1	2.03795e-08	1	7.4519e-08	1	0	0	3.29299e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	0.000242975	3.10684e-07	834	1.73183e-07	393	8.7882e-08	183	0	0	2.55101e-07	107	9.61247e-07	472	1.62179e-09	1	0	0	9.66058e-08	37	3.51235e-08	12	0	0	0	0	0	0	2.69682e-08	7	0	1	0	0	0	0	3.39643e-09	1	0	0	3.89412e-08	8	3.01451e-08	7	5.85057e-09	2	9.31741e-09	2	5.15986e-08	11	5.20787e-07	73	9.66555e-08	18	2.34971e-08	5	0	0	5.82711e-09	1	1.92025e-08	3	9.2199e-07	93	4.79391e-07	59	0	0	0	0	3.86864e-08	1	6.11183e-07	68	0.00020556	26657	5.79402e-07	38	2.29155e-07	9	0	0	0	0	0	0	3.41503e-08	1	1.78598e-08	1	2.09255e-08	1	2.81327e-08	1	0	0	3.84165e-08	1	0	0	9.35936e-13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0.000245579	2.91684e-07	874	1.73415e-07	419	1.01166e-07	198	0	0	3.02986e-07	114	1.12562e-06	509	1.79526e-09	1	0	0	9.72905e-08	38	2.5623e-08	12	0	0	0	0	0	0	2.83607e-08	7	5.96612e-13	3	0	0	0	0	3.33294e-09	1	0	0	4.22603e-08	8	4.91696e-08	8	1.1833e-08	2	9.61304e-09	2	5.49667e-08	14	6.35395e-07	81	1.2173e-07	21	2.4079e-08	5	0	0	6.30738e-09	1	1.88019e-08	3	9.93353e-07	96	4.52337e-07	59	0	0	0	0	6.0009e-08	1	6.34024e-07	70	0.000207612	26637	4.66121e-07	36	2.45599e-07	9	1.93577e-08	1	0	0	0	0	8.9145e-08	3	3.80909e-08	1	2.41662e-08	2	0	0	0	0	4.74375e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	0	0	0.000248407	3.24015e-07	903	1.85303e-07	450	1.05196e-07	217	0	0	2.87444e-07	116	1.14169e-06	535	1.72667e-09	1	0	0	1.23627e-07	41	2.77667e-08	12	0	0	0	0	0	0	3.22777e-08	7	2.21583e-13	1	0	0	0	0	3.2883e-09	1	0	0	4.72888e-08	8	6.54818e-08	8	1.23546e-08	2	1.01392e-08	2	7.51231e-08	15	6.85315e-07	85	1.65667e-07	22	2.38677e-08	5	0	0	6.32406e-09	1	2.41615e-08	4	9.40276e-07	97	5.24619e-07	62	0	0	0	0	2.27777e-08	1	6.89035e-07	74	0.000209762	26603	5.08649e-07	39	3.23355e-07	11	2.88211e-08	1	0	0	0	0	9.42094e-08	5	4.94385e-08	1	5.4751e-08	2	0	0	0	0	6.49606e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	0	0	0.000250996	3.19769e-07	944	2.29808e-07	486	1.14184e-07	229	0	0	3.5335e-07	130	1.07392e-06	544	3.76133e-09	3	0	0	1.30163e-07	41	3.14076e-08	13	0	0	0	0	0	0	5.52133e-08	8	1.90433e-17	2	4.95627e-09	2	0	0	3.0846e-09	1	0	0	5.37056e-08	8	3.63265e-08	9	1.32763e-08	2	9.58344e-09	2	7.81524e-08	15	7.40122e-07	87	1.4734e-07	23	2.3944e-08	5	0	0	6.63194e-09	1	2.62294e-08	4	9.20201e-07	97	5.73753e-07	65	0	0	0	0	0	0	7.40734e-07	75	0.000211963	26573	4.9032e-07	40	2.63028e-07	9	3.44374e-08	2	0	0	0	0	1.53936e-07	3	1.63582e-07	4	6.28074e-08	2	0	0	0	0	7.25537e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	0	0	0.000253938	3.52686e-07	972	2.58954e-07	504	1.26881e-07	237	0	0	3.69373e-07	131	1.18614e-06	555	6.59289e-09	3	0	0	1.27723e-07	40	4.17656e-08	16	0	0	0	0	0	0	4.1801e-08	8	5.24667e-17	1	1.63669e-08	2	0	0	3.50159e-09	1	0	0	6.1662e-08	8	4.44377e-08	9	1.30608e-08	2	1.00667e-08	2	7.9779e-08	15	7.85138e-07	91	2.04193e-07	24	2.44371e-08	5	0	0	6.45774e-09	1	2.72375e-08	4	8.60842e-07	97	6.37679e-07	68	0	0	0	0	0	0	7.19395e-07	76	0.000214343	26546	5.68739e-07	39	3.2822e-07	9	4.59416e-08	2	0	0	0	0	1.24465e-07	3	1.61707e-07	5	7.34203e-08	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	0	0	0.00025631	3.34227e-07	1008	2.36146e-07	517	1.25707e-07	246	0	0	3.55491e-07	132	1.05356e-06	571	7.04326e-09	3	0	0	1.17278e-07	40	5.04229e-08	15	0	0	0	0	0	0	2.96959e-08	8	4.17686e-14	2	1.80365e-08	2	0	0	3.4127e-09	1	0	0	3.81354e-08	7	4.84246e-08	9	1.8185e-08	3	1.05117e-08	2	8.51092e-08	17	7.51976e-07	90	1.99499e-07	26	2.42263e-08	5	0	0	6.68724e-09	1	2.69876e-08	4	8.76835e-07	102	6.43794e-07	67	0	0	0	0	0	0	7.47742e-07	77	0.000216786	26523	5.51747e-07	41	1.83933e-07	9	7.66596e-08	2	0	0	0	0	9.12678e-08	2	2.61523e-07	5	9.33232e-08	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	0	0	0.000259133	3.34243e-07	1016	2.20316e-07	532	1.28069e-07	253	0	0	3.2896e-07	132	1.20104e-06	592	7.07495e-09	3	0	0	1.58357e-07	41	3.64886e-08	14	0	0	0	0	0	0	2.48528e-08	7	1.91188e-14	5	2.05362e-08	2	0	0	3.30209e-09	1	0	0	5.00812e-08	8	5.5838e-08	10	2.50473e-08	3	1.41707e-08	3	9.38282e-08	17	7.68379e-07	87	2.16152e-07	27	2.51142e-08	5	0	0	6.64828e-09	1	2.86403e-08	4	1.00775e-06	106	5.80434e-07	67	0	0	0	0	0	0	7.89099e-07	79	0.000219311	26494	5.16384e-07	43	1.92636e-07	8	5.6953e-11	4	0	0	0	0	9.55484e-08	2	1.59366e-07	4	1.10518e-07	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	0	0	0.000261998	3.42331e-07	1040	2.19592e-07	543	1.09937e-07	259	0	0	3.20953e-07	138	1.21978e-06	615	7.43513e-09	3	0	0	1.33439e-07	42	4.20134e-08	14	0	0	0	0	0	0	2.88603e-08	9	2.25848e-12	2	2.76016e-08	2	0	0	3.32766e-09	1	4.91368e-15	1	5.17353e-08	9	7.6936e-08	11	2.67252e-08	3	1.52637e-08	3	9.57841e-08	17	7.80001e-07	90	1.94409e-07	25	2.62771e-08	6	0	0	6.81308e-09	1	2.77788e-08	4	1.10906e-06	110	6.24779e-07	68	0	0	0	0	0	0	8.55298e-07	80	0.000222002	26471	4.47749e-07	38	2.3007e-07	6	4.38643e-09	2	0	0	5.22367e-17	1	6.94187e-08	1	3.49623e-08	2	5.33161e-08	1	0	0	0	0	1.82422e-09	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	0	0	0.000265252	3.60224e-07	1078	2.38572e-07	577	1.42033e-07	276	0	0	3.98448e-07	145	1.38313e-06	636	7.91551e-09	3	0	0	1.37547e-07	45	4.28283e-08	15	0	0	0	0	0	0	4.39345e-08	11	7.29975e-23	1	2.24466e-08	2	0	0	3.41372e-09	1	0	0	3.50646e-08	8	6.67933e-08	11	2.93626e-08	3	1.55422e-08	3	1.08557e-07	19	6.72963e-07	90	2.1258e-07	26	3.2198e-08	7	0	0	6.56924e-09	1	2.82825e-08	4	8.5775e-07	110	6.68447e-07	69	0	0	0	0	0	0	8.46606e-07	82	0.00022477	26446	4.92061e-07	38	2.96434e-07	7	5.35186e-08	3	0	0	0	0	5.69379e-08	2	7.40065e-08	1	7.88681e-08	1	0	0	0	0	3.38107e-08	1	0	0	5.87092e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	0	0	0.000268163	3.48228e-07	1119	2.83645e-07	604	1.89681e-07	290	0	0	3.2866e-07	148	1.51424e-06	668	8.27338e-09	3	0	0	1.59055e-07	47	3.83097e-08	15	0	0	0	0	0	0	6.22494e-08	11	7.89632e-14	6	9.0659e-09	1	0	0	3.79908e-09	1	0	0	5.09964e-08	9	8.07455e-08	11	3.29729e-08	3	1.62515e-08	3	1.15366e-07	20	6.09722e-07	87	2.92137e-07	30	3.7005e-08	7	0	0	7.17226e-09	1	3.36429e-08	5	8.80565e-07	108	6.65187e-07	78	0	0	0	0	0	0	9.45109e-07	85	0.000227442	26417	4.20471e-07	40	1.9553e-07	6	7.84306e-08	2	0	0	0	0	3.92364e-08	2	0	0	0	0	0	0	0	0	3.97781e-08	1	0	0	8.82417e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	0	0	0.000271693	3.58392e-07	1142	2.60213e-07	634	1.51444e-07	297	0	0	5.31953e-07	163	1.6013e-06	686	8.68581e-09	3	0	0	1.49591e-07	46	4.02743e-08	17	0	0	0	0	0	0	7.02745e-08	11	0	0	9.83384e-09	1	0	0	3.58579e-09	1	0	0	5.66133e-08	9	6.54139e-08	11	3.86702e-08	3	1.68513e-08	3	1.29796e-07	21	6.85224e-07	90	2.65074e-07	30	3.70346e-08	7	0	0	7.08861e-09	1	9.81227e-08	7	9.4142e-07	108	6.53878e-07	74	0	0	0	0	0	0	9.64842e-07	85	0.000230461	26378	4.08237e-07	42	2.20759e-07	6	3.767e-08	1	0	0	0	0	6.60129e-08	2	0	0	0	0	0	0	0	0	4.95956e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	0	0	0.000275396	3.68167e-07	1177	2.85473e-07	660	1.60182e-07	312	0	0	4.60889e-07	165	1.53548e-06	700	9.33916e-09	3	0	0	1.40482e-07	46	4.71443e-08	18	3.46134e-09	1	0	0	0	0	5.38902e-08	11	3.27661e-12	2	1.14043e-08	1	0	0	3.7855e-09	1	0	0	6.98349e-08	9	5.94394e-08	11	4.71948e-08	3	1.68264e-08	3	1.56063e-07	21	7.24699e-07	93	2.3199e-07	27	3.69208e-08	7	0	0	7.4505e-09	1	1.45463e-07	7	9.71456e-07	114	6.83187e-07	76	1.56873e-08	2	0	0	0	0	9.77484e-07	86	0.000233618	26353	5.57366e-07	46	1.83675e-07	5	5.11308e-08	1	0	0	0	0	7.93084e-08	2	0	0	0	0	0	0	0	0	7.07216e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	0	0	0.000279158	3.97031e-07	1209	2.87058e-07	675	1.5471e-07	314	0	0	5.48753e-07	170	1.612e-06	704	1.0259e-08	3	0	0	1.42012e-07	46	5.58216e-08	18	3.95944e-09	1	0	0	0	0	4.19664e-08	10	8.69783e-15	1	1.42003e-08	1	0	0	3.6717e-09	1	0	0	9.06104e-08	10	8.40746e-08	13	7.35009e-08	3	1.64389e-08	3	1.5066e-07	21	6.85545e-07	94	2.75776e-07	31	3.85166e-08	7	0	0	7.39127e-09	1	1.33557e-07	7	1.07565e-06	115	7.12532e-07	82	3.1071e-08	1	0	0	0	0	1.00054e-06	87	0.000236712	26324	5.91115e-07	47	2.29207e-07	5	5.40145e-08	2	0	0	0	0	1.05351e-07	2	2.0146e-13	1	0	0	0	0	0	0	5.34914e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	0	0	0.000282989	3.86531e-07	1247	2.93948e-07	709	1.57276e-07	318	0	0	5.86022e-07	168	1.66174e-06	721	1.12255e-08	3	0	0	1.38233e-07	48	7.3835e-08	20	3.92083e-09	1	0	0	0	0	4.47972e-08	10	1.3079e-14	2	2.26752e-08	2	7.44777e-09	1	3.97586e-09	1	0	0	4.95717e-08	9	9.98102e-08	13	1.99447e-08	2	1.77158e-08	3	1.50855e-07	21	7.22992e-07	97	3.39045e-07	32	3.82055e-08	7	0	0	7.50794e-09	1	6.53816e-08	5	1.13719e-06	116	7.21394e-07	79	4.13722e-08	1	0	0	0	0	9.69365e-07	88	0.00024024	26299	6.63655e-07	47	9.23907e-08	6	0	0	0	0	0	0	1.49335e-07	2	0	0	0	0	8.37428e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	0	0	0.000286398	4.18407e-07	1288	3.20107e-07	750	1.6637e-07	332	0	0	4.00459e-07	163	1.58905e-06	743	1.38388e-08	4	0	0	1.38981e-07	49	6.74997e-08	21	7.66559e-09	4	0	0	4.45536e-17	1	4.61367e-08	10	1.96828e-12	5	1.99591e-08	1	1.26504e-08	1	3.71739e-09	1	0	0	6.04427e-08	9	8.28232e-08	12	1.45556e-08	2	2.02276e-08	4	1.47626e-07	20	6.59699e-07	100	3.66604e-07	31	3.85251e-08	7	0	0	7.69823e-09	1	4.15448e-08	5	1.18693e-06	118	7.69828e-07	81	5.40904e-08	1	0	0	0	0	1.01469e-06	89	0.000243808	26274	6.59899e-07	51	8.92774e-08	2	0	0	0	0	0	0	0	0	0	0	0	0	9.97421e-09	1	0	0	0	0	0	0	6.97867e-13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	0	0	0.000290931	4.08162e-07	1302	3.36772e-07	772	1.58543e-07	332	0	0	4.18206e-07	156	1.80653e-06	748	4.60494e-08	4	0	0	1.55671e-07	51	9.03629e-08	22	1.38793e-08	4	4.66037e-09	1	0	0	4.94764e-08	10	0	0	0	0	1.64161e-08	1	3.93707e-09	1	0	0	9.68702e-08	12	1.14559e-07	13	2.19777e-08	2	5.13922e-08	4	1.12748e-07	20	7.31488e-07	101	3.49039e-07	31	4.03723e-08	7	0	0	7.93546e-09	1	6.61384e-08	5	1.17228e-06	116	8.27795e-07	84	0	0	0	0	0	0	1.06188e-06	91	0.000247612	26240	6.93898e-07	54	3.70897e-08	2	0	0	0	0	0	0	0	0	1.33857e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	0	0	0.000295173	4.40705e-07	1321	3.37202e-07	776	1.60081e-07	332	0	0	4.23215e-07	156	1.65246e-06	749	3.62204e-08	3	0	0	1.57493e-07	51	1.02397e-07	22	1.42949e-08	4	5.58329e-09	1	0	0	5.60533e-08	11	5.02314e-24	2	7.33878e-09	1	2.84968e-08	1	4.07448e-09	1	0	0	1.1403e-07	15	1.08416e-07	12	2.73466e-08	2	4.13448e-08	4	1.18336e-07	20	8.03944e-07	105	2.92453e-07	30	4.04883e-08	7	0	0	8.3849e-09	1	9.08817e-08	5	1.15406e-06	117	7.52552e-07	83	3.6596e-09	1	0	0	0	0	1.12329e-06	92	0.000251678	26219	6.20092e-07	51	5.86924e-08	2	0	0	0	0	0	0	0	0	3.8795e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	0	0	0.00029969	4.0513e-07	1326	3.45591e-07	794	1.44204e-07	333	0	0	4.34168e-07	158	1.64727e-06	745	2.76308e-08	5	0	0	1.77311e-07	52	1.2988e-07	22	1.52824e-08	4	5.99065e-09	1	0	0	8.14026e-08	12	7.40665e-16	1	9.45395e-09	1	0	0	3.89306e-09	1	0	0	1.3115e-07	12	1.32763e-07	12	4.17182e-08	2	1.85024e-08	3	1.21401e-07	20	8.27361e-07	109	2.34636e-07	28	4.0366e-08	7	0	0	8.42853e-09	1	3.59022e-08	5	1.09521e-06	118	7.04356e-07	80	0	0	0	0	0	0	1.18273e-06	92	0.000256094	26198	6.00963e-07	49	9.78741e-08	3	0	0	0	0	0	0	0	0	5.15607e-08	1	0	0	0	0	0	0	0	0	0	0	2.66359e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	0	0	0.000304913	4.20455e-07	1354	3.77894e-07	807	1.49611e-07	339	0	0	4.64613e-07	157	1.67412e-06	743	6.82471e-08	5	0	0	1.46785e-07	50	1.22726e-07	21	1.61202e-08	4	6.86787e-09	1	0	0	8.42942e-08	13	1.17054e-13	3	1.10878e-08	1	0	0	3.85925e-09	1	4.77088e-15	1	9.76171e-08	12	1.101e-07	11	4.94593e-09	1	1.9198e-08	3	1.24418e-07	20	9.71443e-07	116	2.31571e-07	26	5.74535e-08	8	0	0	8.41465e-09	1	3.39723e-08	4	1.14058e-06	120	7.83689e-07	84	0	0	0	0	0	0	1.21231e-06	94	0.000260692	26182	5.96607e-07	50	7.7052e-08	3	1.74812e-14	1	0	0	0	0	0	0	8.33743e-08	1	0	0	0	0	0	0	0	0	0	0	4.53738e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	0	0	0.000310005	4.47364e-07	1389	4.02358e-07	831	1.55547e-07	347	0	0	4.4377e-07	155	1.64755e-06	756	1.37712e-08	4	0	0	1.52797e-07	53	8.04502e-08	21	1.717e-08	4	7.27704e-09	1	0	0	9.82209e-08	13	4.62245e-13	3	1.30893e-08	1	0	0	3.83496e-09	1	2.24564e-16	1	9.19403e-08	10	1.10893e-07	11	4.70195e-09	1	2.24008e-08	4	1.28542e-07	20	1.03339e-06	120	1.89842e-07	24	6.08194e-08	8	0	0	9.11124e-09	1	3.5739e-08	4	1.21912e-06	122	7.27629e-07	85	0	0	0	0	0	0	1.25195e-06	95	0.000265478	26158	6.5472e-07	53	4.42165e-08	1	0	1	0	0	0	0	0	0	4.04707e-08	2	0	0	0	0	0	0	0	0	0	0	5.90177e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	0	0	0.000315811	4.76881e-07	1438	4.11829e-07	860	1.61721e-07	350	0	0	4.00102e-07	149	1.56929e-06	753	1.45838e-08	4	0	0	1.90605e-07	54	6.94467e-08	18	1.83555e-08	4	8.63002e-09	1	0	0	7.47333e-08	12	0	0	1.9253e-08	2	0	0	4.26014e-09	1	0	0	6.69329e-08	9	9.06585e-08	13	4.61908e-09	1	4.01486e-08	4	1.3115e-07	20	9.78057e-07	118	1.66737e-07	24	6.50508e-08	8	0	0	9.29032e-09	1	5.56547e-08	5	1.36899e-06	127	8.72753e-07	92	0	0	0	0	0	0	1.30907e-06	95	0.00027061	26132	7.45714e-07	53	9.34064e-08	2	0	0	0	0	3.83912e-16	1	0	0	7.38268e-08	1	0	0	0	0	0	0	0	0	0	0	7.28049e-08	2	8.25304e-14	1	0	0	7.92429e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	0	0	0.000321794	4.6807e-07	1463	4.01473e-07	886	1.59226e-07	352	0	0	3.8698e-07	151	1.7082e-06	770	1.82279e-08	5	0	0	2.11338e-07	54	7.2606e-08	17	1.97641e-08	4	1.10688e-08	1	0	0	7.25814e-08	11	3.91337e-13	3	5.05333e-08	3	0	0	4.03507e-09	1	0	0	7.76518e-08	10	1.18567e-07	12	5.35641e-09	1	4.79985e-08	4	1.3355e-07	20	9.29953e-07	122	1.98525e-07	26	7.41075e-08	8	0	0	9.14907e-09	1	8.39211e-08	5	1.43466e-06	130	1.00753e-06	97	0	0	0	0	0	0	1.40542e-06	97	0.000275921	26102	7.49651e-07	56	5.34993e-08	2	6.52428e-15	1	0	0	0	0	1.3659e-08	1	2.27774e-08	1	0	0	0	0	0	0	0	0	0	0	5.93301e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	0	0	0.000328816	4.78937e-07	1489	4.1525e-07	906	1.67893e-07	358	0	0	3.9037e-07	146	1.87378e-06	783	2.75973e-08	5	0	0	1.92808e-07	54	5.94342e-08	17	2.23764e-08	4	1.93822e-08	1	0	0	9.32335e-08	13	3.23957e-14	2	5.0608e-08	3	0	0	4.20741e-09	1	3.59881e-15	1	7.47476e-08	11	9.87707e-08	11	5.14978e-09	1	6.57213e-08	4	1.37834e-07	20	1.08251e-06	131	2.43453e-07	27	8.95976e-08	8	0	0	9.61745e-09	1	6.34463e-08	5	1.61076e-06	130	1.06399e-06	98	0	0	0	0	0	0	1.52265e-06	100	0.000281895	26075	7.8383e-07	56	5.03888e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9926e-08	1	4.67655e-08	1	0	0	5.97174e-08	1	0	0	0	0	0	0	0	0	0	0	9.46038e-09	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	0	0	0.000335381	5.15755e-07	1518	4.06103e-07	911	1.68608e-07	362	0	0	4.35691e-07	149	1.92622e-06	780	4.0918e-08	5	0	0	1.83101e-07	52	7.16862e-08	17	2.83373e-08	5	2.6411e-09	1	0	0	9.55909e-08	13	1.59988e-17	1	8.51377e-09	3	0	0	4.64434e-09	1	0	0	4.12264e-08	8	9.87518e-08	11	5.43661e-09	1	2.08831e-08	3	1.431e-07	20	1.04049e-06	135	2.28423e-07	27	4.41983e-08	7	0	0	1.02845e-08	1	4.04058e-08	4	1.44162e-06	131	1.00413e-06	98	0	0	0	0	0	0	1.69018e-06	101	0.000288171	26046	8.33398e-07	56	0	0	0	0	0	0	0	0	0	0	0	0	2.89891e-08	1	0	0	0	0	0	0	7.5732e-08	1	1.30026e-07	2	2.96412e-08	1	1.03026e-07	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	0	0	0.000342901	4.99514e-07	1538	4.1586e-07	935	1.61201e-07	359	0	0	4.68544e-07	147	1.81924e-06	773	4.23476e-08	6	0	0	2.0726e-07	52	4.88545e-08	15	3.92231e-08	5	0	0	0	0	1.0683e-07	13	2.56312e-16	2	9.47165e-09	1	0	0	4.46818e-09	1	0	0	4.96169e-08	9	7.3091e-08	11	5.12671e-09	1	2.16749e-08	3	1.45589e-07	21	1.09598e-06	139	3.07396e-07	26	4.50396e-08	7	0	0	9.78605e-09	1	5.9962e-08	5	1.44813e-06	127	1.05976e-06	105	9.56127e-10	2	0	0	0	0	1.8957e-06	103	0.000294975	26022	8.6466e-07	58	4.61133e-08	3	0	0	0	0	0	0	4.63494e-09	1	0	0	9.57684e-08	3	0	0	0	0	0	0	4.50693e-08	1	9.8622e-08	2	6.3854e-08	1	8.49555e-10	1	0	0	2.93113e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
