i	j	k	Dose(Gy)	proton	proton_f	deuteron	deuteron_f	triton	triton_f	H4	H4_f	He3	He3_f	alpha	alpha_f	He6	He6_f	Li4	Li4_f	Li6	Li6_f	Li7	Li7_f	Li8	Li8_f	Li9	Li9_f	Be6	Be6_f	Be7	Be7_f	Be8	Be8_f	Be9	Be9_f	Be10	Be10_f	B8	B8_f	B9	B9_f	B10	B10_f	B11	B11_f	B12	B12_f	C10	C10_f	C11	C11_f	C12	C12_f	C13	C13_f	C14	C14_f	C16	C16_f	N12	N12_f	N13	N13_f	N14	N14_f	N15	N15_f	N16	N16_f	N17	N17_f	O14	O14_f	O15	O15_f	O16_1	O16_1_f	O16	O16_f	O17	O17_f	O18	O18_f	O19	O19_f	F16	F16_f	F17	F17_f	F18	F18_f	F19	F19_f	F20	F20_f	Ne17	Ne17_f	Ne18	Ne18_f	Ne19	Ne19_f	Ne20	Ne20_f	Ne21	Ne21_f	Ne22	Ne22_f	Na21	Na21_f	Na22	Na22_f	Na23	Na23_f	Na24	Na24_f	Mg24	Mg24_f	Mg25	Mg25_f	Mg26	Mg26_f	Al26	Al26_f	Al27	Al27_f	Al28	Al28_f	Si28	Si28_f	Si29	Si29_f	Si30	Si30_f	P30	P30_f
10	0	0	0.000216041	1.70884e-07	460	2.3561e-08	71	1.39736e-08	34	0	0	4.89145e-08	25	2.75136e-07	190	0	0	0	0	2.80757e-08	17	6.21426e-09	6	0	0	0	0	0	0	9.43958e-09	4	9.98696e-19	1	0	0	0	0	3.29095e-09	1	0	0	1.52568e-08	5	3.39482e-08	6	3.44155e-09	1	4.14939e-09	1	4.38432e-08	5	1.65736e-07	33	5.06008e-08	13	2.65437e-08	6	0	0	0	0	8.06163e-09	2	3.25369e-07	48	2.21362e-07	39	1.67688e-07	3	0	0	0	0	4.38456e-07	57	0.0001838	26974	1.75102e-07	23	0	0	4.43061e-08	1	0	0	0	0	4.41022e-09	1	0	0	0	0	0	0	0	0	6.7906e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	0.000217728	1.62603e-07	492	4.49061e-08	94	1.68038e-08	49	0	0	1.06538e-07	33	2.10188e-07	204	0	0	0	0	3.28044e-08	19	8.63977e-09	6	0	0	0	0	0	0	1.06294e-08	5	6.41921e-16	1	0	0	0	0	2.84734e-09	1	0	0	2.00067e-08	6	3.06804e-08	7	3.46192e-09	1	4.40489e-09	1	6.23765e-08	5	2.14679e-07	36	6.55076e-08	13	2.72121e-08	6	0	0	0	0	1.31158e-08	3	3.07517e-07	49	2.37352e-07	42	1.08659e-07	2	0	0	0	0	4.47718e-07	58	0.000185198	26956	1.64622e-07	21	0	0	6.51078e-08	2	0	0	0	0	4.11077e-08	2	1.99023e-13	2	0	0	6.13161e-09	1	0	0	1.00763e-07	1	2.02095e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0.000219543	1.83818e-07	504	6.34251e-08	121	1.81953e-08	56	0	0	1.08763e-07	42	2.60846e-07	225	0	0	0	0	3.35361e-08	20	8.95491e-09	6	0	0	0	0	0	0	1.29662e-08	5	1.06227e-13	1	0	0	0	0	2.79375e-09	1	0	0	2.34604e-08	7	4.07659e-08	6	3.43504e-09	1	4.14008e-09	1	1.76106e-08	5	2.86302e-07	40	6.6253e-08	13	2.68973e-08	6	0	0	0	0	1.70352e-08	3	3.59108e-07	53	2.59658e-07	44	2.39534e-08	1	0	0	0	0	4.70225e-07	58	0.000186671	26934	1.95258e-07	23	2.91341e-08	1	3.61644e-08	1	0	0	0	0	1.06468e-07	4	0	0	0	0	1.9122e-08	1	0	0	0	0	4.04421e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0.00022148	2.12833e-07	548	6.18127e-08	150	2.2686e-08	70	0	0	1.43208e-07	45	3.04475e-07	250	0	0	0	0	2.45407e-08	21	8.52948e-09	6	0	0	0	0	0	0	1.30823e-08	5	0	0	0	0	0	0	2.95276e-09	1	0	0	3.96724e-08	8	3.61827e-08	6	3.51251e-09	1	4.07684e-09	1	2.06207e-08	5	2.64023e-07	42	7.1526e-08	14	2.80134e-08	6	0	0	0	0	1.67018e-08	3	4.44309e-07	59	3.03277e-07	49	0	0	0	0	0	0	5.06882e-07	61	0.000188178	26916	2.56311e-07	24	8.0329e-08	3	0	0	0	0	0	0	1.51666e-07	4	0	0	0	0	2.29691e-08	2	0	0	0	0	4.94799e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0.00022404	2.71128e-07	608	7.78152e-08	180	5.51624e-08	90	0	0	2.49746e-07	60	4.89565e-07	283	0	0	0	0	3.86588e-08	25	9.07684e-09	7	0	0	0	0	0	0	1.59427e-08	7	1.52272e-14	1	0	0	0	0	1.05516e-08	2	0	0	4.7523e-08	8	1.90689e-08	6	3.58322e-09	1	5.69291e-09	2	2.09928e-08	5	2.89439e-07	48	7.77325e-08	14	2.82394e-08	6	0	0	0	0	1.67288e-08	3	5.91509e-07	66	3.38432e-07	49	0	0	0	0	0	0	4.55064e-07	61	0.000189721	26890	4.2778e-07	29	8.15633e-08	5	0	0	0	0	0	0	1.98721e-07	5	0	0	2.51227e-08	1	4.59266e-08	2	0	0	0	0	6.76664e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	0	0	0.000226185	2.69811e-07	650	8.23481e-08	203	4.14282e-08	108	0	0	1.90081e-07	60	6.26658e-07	318	0	0	0	0	5.57357e-08	27	1.00799e-08	7	0	0	0	0	0	0	2.07961e-08	7	6.34216e-13	2	0	0	0	0	1.49923e-08	2	0	0	5.13392e-08	8	3.02481e-08	6	3.53528e-09	1	8.80204e-09	2	2.61907e-08	7	2.78579e-07	48	1.00752e-07	17	2.74402e-08	6	0	0	0	0	1.74095e-08	3	6.21398e-07	70	3.81821e-07	52	0	0	0	0	1.01451e-08	1	4.70105e-07	62	0.000191223	26855	4.80069e-07	31	1.84083e-07	6	1.81457e-08	1	0	0	0	0	2.26507e-07	5	1.8006e-08	1	3.55913e-08	2	4.93378e-08	2	0	0	0	0	6.86837e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	0	0	0.000227713	2.59488e-07	672	1.08607e-07	228	5.70832e-08	115	0	0	2.29045e-07	68	6.48077e-07	349	0	0	0	0	4.8907e-08	29	1.0639e-08	8	0	0	0	0	0	0	2.12433e-08	7	4.13741e-12	2	0	0	0	0	1.69048e-08	2	0	0	5.90961e-08	8	3.31248e-08	6	3.40096e-09	1	9.17355e-09	2	3.43938e-08	8	3.3583e-07	53	1.47074e-07	18	2.72783e-08	6	0	0	0	0	1.74089e-08	3	5.98005e-07	75	3.57327e-07	51	0	0	0	0	1.60387e-08	1	4.82205e-07	62	0.000192689	26825	4.12324e-07	30	2.03061e-07	6	3.87241e-08	2	0	0	0	0	1.03623e-07	4	3.44167e-08	1	4.32385e-08	1	5.39694e-08	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	0	0	0.000230237	2.91224e-07	711	1.25552e-07	270	6.12809e-08	140	0	0	2.40278e-07	82	8.6305e-07	383	1.24693e-09	1	0	0	6.10008e-08	32	1.56169e-08	10	0	0	0	0	0	0	2.14127e-08	7	1.66067e-15	3	0	0	7.94257e-09	1	2.10436e-08	2	0	0	8.92233e-08	10	4.81593e-08	7	3.93966e-09	1	8.88352e-09	2	4.94737e-08	9	3.42338e-07	53	1.11701e-07	17	2.81702e-08	6	0	0	0	0	1.71723e-08	3	7.18764e-07	74	3.95594e-07	55	0	0	0	0	1.72339e-08	1	4.81935e-07	61	0.000194289	26800	4.70817e-07	32	2.32304e-07	6	6.93398e-08	3	0	0	0	0	2.24778e-07	7	4.28346e-08	1	5.84481e-08	1	5.88082e-08	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	0	0	0.000232404	2.86491e-07	728	1.47423e-07	284	6.04155e-08	145	0	0	2.36558e-07	83	9.30855e-07	386	1.53351e-09	1	0	0	6.8238e-08	32	2.05981e-08	11	0	0	0	0	0	0	2.20664e-08	7	3.69345e-14	2	0	0	1.18732e-08	1	3.53326e-08	2	0	0	9.7069e-08	10	5.75925e-08	8	3.56217e-09	1	9.18301e-09	2	5.52447e-08	9	4.22647e-07	60	1.28185e-07	18	2.25682e-08	6	0	0	0	0	1.67766e-08	3	7.1672e-07	75	4.26252e-07	58	0	0	0	0	1.83797e-08	1	4.97032e-07	63	0.000196022	26773	3.96236e-07	33	6.57803e-08	3	1.05086e-07	3	0	0	0	0	3.69803e-07	8	8.5319e-08	2	6.92014e-08	1	6.69857e-08	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	0	0	0.000234441	2.65371e-07	752	1.40508e-07	309	6.63742e-08	152	0	0	2.90788e-07	87	9.94786e-07	410	1.53564e-09	1	0	0	7.50328e-08	34	2.45869e-08	11	0	0	0	0	0	0	2.23125e-08	7	1.87512e-13	4	0	0	1.42852e-08	1	6.15098e-09	2	0	0	8.4547e-08	9	3.72717e-08	7	3.95752e-09	1	9.23547e-09	2	6.05484e-08	10	4.87248e-07	66	1.2737e-07	20	2.27191e-08	5	0	0	0	0	1.71659e-08	3	6.20633e-07	77	4.21053e-07	58	0	0	0	0	2.07464e-08	1	5.16752e-07	65	0.000197856	26750	4.82397e-07	35	5.52349e-08	7	1.35079e-07	4	0	0	0	0	3.48904e-07	8	9.71189e-08	2	5.32327e-09	1	8.13317e-08	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
