#class tools::wcsv::ntuple
#title Let
#separator 44
#vector_separator 59
#column int i
#column int j
#column int k
#column double TotalLetD
#column double TotalLetT
#column int A
#column int Z
#column double IonLETD
#column double IonLETT
0,0,0,155.083,111.084,1,1,1.5451,1.54533
0,0,0,0,0,2,1,0,0
0,0,0,0,0,3,1,0,0
0,0,0,0,0,3,2,0,0
0,0,0,0,0,4,2,14.6191,14.6161
0,0,0,0,0,6,3,0,0
0,0,0,0,0,8,4,0,0
0,0,0,0,0,10,5,0,0
0,0,0,0,0,12,6,58.0841,58.0841
0,0,0,0,0,13,6,141.006,140.998
0,0,0,0,0,14,6,0,0
0,0,0,0,0,14,7,0,0
0,0,0,0,0,16,8,96.5586,96.5586
0,0,0,0,0,16,8,155.08,111.562
0,0,0,0,0,17,8,226.844,226.791
0,0,0,0,0,18,8,0,0
0,0,0,0,0,17,9,0,0
0,0,0,0,0,18,9,0,0
0,0,0,0,0,20,10,0,0
0,0,0,0,0,23,11,0,0
0,0,0,0,0,26,12,0,0
0,0,0,0,0,26,13,0,0
1,0,0,167.654,110.696,1,1,1.67351,1.55879
0,0,0,0,0,2,1,0,0
0,0,0,0,0,3,1,12.2461,12.2285
0,0,0,0,0,3,2,46.4744,43.9252
0,0,0,0,0,4,2,16.1789,16.0982
0,0,0,0,0,6,3,0,0
0,0,0,0,0,8,4,0,0
0,0,0,0,0,10,5,85.7868,85.8008
0,0,0,0,0,12,6,58.7793,58.7793
0,0,0,0,0,13,6,152.788,152.585
0,0,0,0,0,14,6,0,0
0,0,0,0,0,14,7,0,0
0,0,0,0,0,16,8,97.8111,97.8111
0,0,0,0,0,16,8,168.456,113.304
0,0,0,0,0,17,8,249.21,248.95
0,0,0,0,0,18,8,0,0
0,0,0,0,0,17,9,0,0
0,0,0,0,0,18,9,0,0
0,0,0,0,0,20,10,0,0
0,0,0,0,0,23,11,0,0
0,0,0,0,0,26,12,0,0
0,0,0,0,0,26,13,0,0
2,0,0,163.31,110.732,1,1,1.71424,1.56867
0,0,0,0,0,2,1,42.055,38.2196
0,0,0,0,0,3,1,16.378,16.1588
0,0,0,0,0,3,2,375.069,196.19
0,0,0,0,0,4,2,16.7443,16.6746
0,0,0,0,0,6,3,0,0
0,0,0,0,0,8,4,0,0
0,0,0,0,0,10,5,89.5411,89.5425
0,0,0,0,0,12,6,59.4689,59.4689
