i	j	k	LDT	LTT	proton_D	proton_T	deuteron_D	deuteron_T	triton_D	triton_T	He3_D	He3_T	alpha_D	alpha_T	He6_D	He6_T	Li6_D	Li6_T	Li7_D	Li7_T	Be7_D	Be7_T	Be8_D	Be8_T	B9_D	B9_T	B10_D	B10_T	B11_D	B11_T	C12_D	C12_T	C13_D	C13_T	N13_D	N13_T	N14_D	N14_T	N15_D	N15_T	O15_D	O15_T	O16_D	O16_T	O16_1_D	O16_1_T	O17_D	O17_T	O18_D	O18_T	F17_D	F17_T	F18_D	F18_T	Ne18_D	Ne18_T	Ne20_D	Ne20_T	Ne21_D	Ne21_T	Na23_D	Na23_T	Na24_D	Na24_T	Mg24_D	Mg24_T	Mg25_D	Mg25_T	Al27_D	Al27_T	Si30_D	Si30_T	P30_D	P30_T	Ar38_D	Ar38_T
12	0	0	89.2616	85.114	9.78489	4.03365	1.43498	1.29192	4.95303	3.09322	66.0901	36.0482	41.9949	14.2475	0	0	0	0	10.0271	10.0271	25.9397	25.9398	0	0	0	0	0	0	35.4239	35.4273	117.306	91.4958	53.347	53.345	0	0	213.434	160.213	71.2868	71.2913	98.4874	96.4947	91.2508	90.7882	89.1661	87.3165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	90.229	86.0009	2.59578	1.95066	6.38783	2.43539	3.74707	2.59425	390.523	53.7227	199.461	26.67	0	0	0	0	10.0465	10.0473	26.1576	26.1581	0	0	0	0	0	0	35.6478	35.6468	134.383	98.8858	53.7957	53.7963	261.996	261.819	247.333	155.295	71.941	71.9414	100.408	97.8937	131.454	111.427	88.5838	88.0684	0	0	0	0	0	0	563.468	561.352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	94.2659	86.8037	2.14862	1.70307	19.159	4.0052	2.44525	2.16317	15.306	14.1441	355.201	14.1549	0	0	0	0	10.0667	10.0667	26.3832	26.3835	0	0	0	0	0	0	35.8761	35.8761	162.406	110.491	54.2785	54.2834	319.11	316.506	422.416	216.558	72.6181	72.6179	101.773	99.4064	170.322	138.971	89.7667	88.9655	0	0	0.861226	0.861226	0	0	922.573	852.665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	0	0	94.4167	87.2885	9.60841	3.03909	16.2825	2.88301	2.41248	2.12029	272.738	25.3837	18.3672	10.7833	0	0	0	0	10.0897	10.0905	26.6032	26.6034	0	0	0	0	0	0	36.1121	36.1094	218.193	133.34	54.7694	54.7687	551.147	521.136	428.801	152.587	73.3012	73.3015	103.723	100.999	188.767	148.088	92.2564	90.0513	227.449	227.489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	0	0	92.6553	86.9471	3.55829	2.51723	8.62779	3.2098	2.56329	2.19469	33.6044	23.8915	40.4251	19.6968	0	0	0	0	10.1104	10.1104	26.8399	26.8402	0	0	0	0	0	0	36.3508	36.3508	433.31	195.063	55.2624	55.2493	921.403	809.632	146.124	109.997	74.0118	74.0121	105.127	102.663	215.361	160.849	91.1335	90.7558	241.124	240.794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	0	0	93.1561	87.7003	2.71293	2.16928	5.06037	2.87522	2.72305	2.28035	66.2657	35.5997	179.049	32.0338	0	0	20.3069	20.3069	10.1275	10.1275	27.0808	27.0813	0	0	0	0	0	0	36.5916	36.5916	61.7492	60.354	55.7741	55.7742	0	0	170.988	119.232	74.7701	74.7802	107.593	104.462	262.246	181.156	92.2947	91.7987	267.593	267.376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	0	0	95.3175	88.7969	7.56286	2.43823	4.15755	2.86179	2.80357	2.29967	356.601	51.1684	87.8209	31.1893	0	0	20.4681	20.4684	10.1467	10.1468	27.3362	27.3369	0	0	0	0	0	0	36.8425	36.8425	62.374	61.1169	56.298	56.2988	0	0	215.36	135.348	74.0334	73.892	110.317	106.372	359.356	220.929	93.6206	92.8508	306.382	306.092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	0	0	99.3351	89.51	4.5449	2.62641	4.2642	3.02017	2.765	2.34141	20.7896	17.5626	201.5	44.327	0	0	22.6219	22.5145	10.1662	10.1663	27.6161	27.6151	0	0	0	0	0	0	37.0951	37.0951	63.0751	61.9195	56.8583	56.8583	0	0	334.704	182.325	78.7967	78.3273	112.753	108.447	640.551	279.337	96.0087	94.0285	371.935	370.083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0	98.7637	89.9149	6.31441	2.65562	9.70694	3.82698	3.8572	2.67692	27.8662	19.3657	358.017	69.8051	0	0	23.2776	23.1059	34.731	25.2007	27.8929	27.8877	139.016	139.016	0	0	0	0	37.3524	37.3524	64.0962	62.7761	57.4476	57.4509	0	0	393.294	173.761	79.9997	79.5182	115.141	110.693	101.178	100.277	95.2201	94.9483	510.385	503.453	0	0	330.482	330.482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	0	0	99.0009	90.2048	3.97393	2.51983	6.47742	4.10973	4.04921	2.69949	41.5103	22.4212	212.495	37.2895	0	0	34.326	29.8429	36.4778	26.629	28.1778	28.1787	0	0	0	0	0	0	37.6184	37.6185	65.4428	63.684	58.0393	58.0395	0	0	247.817	148.683	120.733	86.7293	118.053	113.12	102.771	101.648	96.3751	96.0804	873.519	820.899	0	0	360.799	359.794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
