i	j	k	LDT	LTT	proton_D	proton_T	deuteron_D	deuteron_T	triton_D	triton_T	He3_D	He3_T	alpha_D	alpha_T	He6_D	He6_T	Li6_D	Li6_T	Li7_D	Li7_T	Be7_D	Be7_T	Be8_D	Be8_T	B9_D	B9_T	B10_D	B10_T	B11_D	B11_T	C12_D	C12_T	C13_D	C13_T	N13_D	N13_T	N14_D	N14_T	N15_D	N15_T	O15_D	O15_T	O16_D	O16_T	O16_1_D	O16_1_T	O17_D	O17_T	O18_D	O18_T	F17_D	F17_T	F18_D	F18_T	Ne18_D	Ne18_T	Ne20_D	Ne20_T	Ne21_D	Ne21_T	Na23_D	Na23_T	Na24_D	Na24_T	Mg24_D	Mg24_T	Mg25_D	Mg25_T	Al27_D	Al27_T	Si30_D	Si30_T	P30_D	P30_T	Ar38_D	Ar38_T
51	0	0	336.837	221.65	6.30319	3.14312	9.7671	4.31943	7.26676	3.10196	288.942	31.1123	224.777	30.7909	0	0	135.618	77.9103	203.827	94.6051	47.1937	47.1812	0	0	0	0	0	0	50.2338	50.2339	230.559	171.286	96.6486	96.6786	188.784	188.787	364.596	222.348	283.748	206.856	221.754	219.112	197.912	194.285	338.886	252.339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	0	0	354.933	230.876	7.38338	3.32052	9.83396	4.18977	4.07613	2.98715	24.4315	17.4643	116.837	24.3597	0	0	153.575	79.6957	10.95	10.9503	48.8164	48.8379	0	0	0	0	0	0	50.9377	50.9377	240.017	170.918	99.9145	99.9039	210.393	210.17	191.022	184.148	326.659	200.768	245.973	241.423	212.433	209.776	357.261	264.704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	816.507	816.329	0	0	1338.65	1338.63	0	0	0	0	0	0	0	0
53	0	0	371.642	236.529	7.88623	3.23653	10.263	3.88632	4.26952	3.04629	42.4987	25.9337	109.712	26.9977	0	0	54.4518	47.1317	10.9796	10.9796	50.6706	50.6812	0	0	0	0	0	0	51.6473	51.6474	226	180.645	103.597	103.604	242.463	242.026	219.506	206.18	180.022	174.153	282.984	274.613	239.067	234.961	367.9	273.469	2.79167	2.72199	1.45934	1.45934	1032.99	954.95	1024.32	956.834	0	0	0	0	1302.22	1206.15	0	0	1271.65	1187.27	2.13506	1.21512	1585.98	1422.94	0	0	0	0	0	0	0	0
54	0	0	367.828	238.734	6.45649	3.13151	7.80681	3.68325	4.35883	3.10812	196.74	49.2735	219.147	37.2747	603.556	506.113	66.5749	54.7302	11.0068	11.0068	52.7241	52.7029	0	0	0	0	0	0	52.4112	52.4113	320.896	208.982	107.754	107.7	298.841	296.65	284.393	246.482	198.732	190.02	353.57	332.144	326.097	287.04	369.95	280.22	0	0	0	0	604.744	594.857	0	0	0	0	0	0	0	0	0	0	126.63	111.492	2.03483	1.21512	0	0	0	0	0	0	0	0	0	0
55	0	0	378.887	246.571	6.08999	3.1935	10.1214	4.1949	4.52599	3.1806	315.626	50.863	326.298	39.3678	514.966	302.436	102.655	73.7791	11.0345	11.0354	55.0685	55.0649	0	0	0	0	0	0	306.582	179.888	257.868	188.428	112.403	112.401	440.78	430.716	418.629	294.472	231.236	213.699	531.168	446.914	419.233	333.955	377.749	293.383	3.3538	3.3538	0	0	1022.73	963.054	0	0	0	0	0	0	0	0	1356.37	1260.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	0	0	405.101	258.937	8.82632	3.55093	9.66076	4.14342	4.82311	3.27539	21.2705	16.7545	156.822	32.9368	0	0	199.517	86.8608	11.0623	11.0623	57.8029	57.7873	0	0	0	0	0	0	407.847	132.049	338.373	235.355	117.732	117.648	781.193	724.039	263.935	253.908	304.715	257.232	640.368	496.892	468.451	380.263	406.276	314.268	0	0	0	0	527.103	526.734	0	0	0	0	0	0	795.018	787.604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	0	0	439.722	272.921	8.4219	3.60878	9.98437	3.76008	5.316	3.38165	23.169	17.8869	132.439	32.5836	0	0	33.8949	33.8924	11.0878	11.0878	61.1279	61.1317	0	0	0	0	0	0	54.9236	54.9237	366.902	213.78	124.073	124	0	0	362.675	330.079	387.842	287.619	435.515	428.489	496.842	412.381	440.902	337.313	0	0	0	0	736.537	709.914	0	0	0	0	0	0	1231.18	1148.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	0	0	444.305	273.011	9.24957	3.51794	6.61222	3.52065	5.90091	3.5206	27.088	19.4443	137.98	31.8265	0	0	35.2616	35.2555	11.1167	11.1167	65.209	65.2008	0	0	0	0	0	0	55.8956	55.8956	171.197	154.589	131.682	131.596	0	0	555.786	451.573	345.304	301.33	727.547	680.055	462.487	388.974	446.309	347.493	3.90596	3.90596	0	0	1147.06	989.091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59	0	0	448.377	275.35	6.40861	3.08044	11.4544	3.84991	6.815	3.72307	33.1298	21.9168	205.759	38.7969	0	0	36.805	36.8134	11.1462	11.1462	70.1494	70.0949	0	0	0	0	0	0	56.9273	56.9269	261.895	192.028	141.14	141.128	0	0	460.816	357.566	480.913	375.042	1047.85	969.114	530.017	464.969	450.068	361.756	0	0	0	0	852.727	801.427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	0	0	479.741	287.933	6.39057	3.10952	10.7669	3.54505	8.8306	4.08892	47.5635	26.7986	124.946	31.7935	0	0	38.6134	38.6059	11.1722	11.1722	76.4877	76.3923	0	0	0	0	0	0	58.0228	58.0229	226.927	180.97	152.98	152.858	0	0	425.617	417.791	518.56	390.68	0	0	553.297	466.448	483.198	394.719	2.52309	2.52309	0	0	1098.25	844.993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61	0	0	512.317	298.66	4.70541	3.01309	7.45764	3.10528	16.3564	4.65594	330.333	68.2886	219.032	37.9821	0	0	40.7668	40.7643	11.1996	11.1996	85.0583	84.9354	0	0	0	0	0	0	59.163	59.1631	297.435	213.839	168.682	168.559	0	0	750.549	704.834	559.37	349.153	0	0	565.23	514.635	515.685	432.233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1530.09	1528.7	0	0	0	0	0	0
62	0	0	566.733	312.155	7.64981	3.32301	4.45115	2.86465	15.7715	4.12741	40.9562	16.4786	56.9967	26.5208	0	0	43.3757	43.3417	11.2276	11.2276	97.7445	97.5888	0	0	0	0	0	0	60.328	60.3296	207.07	195.555	191.519	191.149	0	0	0	0	225.432	225.242	0	0	779.346	701.021	569.434	489.412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1762.61	1609.14	0	0	0	0	0	0
63	0	0	635.589	313.719	6.3894	3.1688	5.87198	3.03245	6.48724	3.26022	21.3871	16.2082	117.175	30.2428	0	0	46.6536	46.6485	11.2567	11.2568	119.942	119.137	0	0	0	0	0	0	61.5629	61.5576	302.724	260.032	228.695	227.828	0	0	0	0	260.73	260.048	0	0	866.552	809.049	644.595	575.238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	0	0	785.098	270.011	7.88878	3.31197	6.04759	2.888	16.4852	3.99956	25.3504	17.5461	190.506	40.2238	0	0	50.9874	51.01	11.2864	11.2864	182.866	176.845	0	0	0	0	0	0	62.9623	62.9713	411.857	310.871	307.671	303.851	0	0	0	0	323.449	321.571	0	0	0	0	805.91	740.499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	0	0	751.55	45.5645	6.40144	3.25521	3.7137	2.81004	3.14063	2.63345	33.7588	19.9029	186.049	37.3664	0	0	56.9445	56.8672	11.3165	11.3124	369.509	344.848	0	0	0	0	0	0	64.5	64.4906	493.914	369.669	566.101	526.607	0	0	0	0	481.222	469.4	0	0	0	0	964.096	873.525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	0	0	194.89	10.3081	10.3538	3.94914	3.93945	2.87202	3.19249	2.6544	65.9499	26.615	215.557	39.3668	0	0	65.8264	65.7232	11.3457	11.3457	0	0	0	0	0	0	0	0	66.1067	66.1314	160.919	160.699	0	0	0	0	0	0	820.904	763.304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	0	0	148.412	8.53485	8.54601	3.58428	4.22853	2.95103	3.19268	2.67874	352.901	39.1228	222.02	32.0713	0	0	81.3231	80.943	11.3716	11.3715	0	0	0	0	0	0	0	0	67.8476	67.8645	181.493	181.169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	0	0	100.148	8.02426	8.1759	3.3281	5.11543	3.08572	3.3095	2.70345	14.4052	13.7082	153.606	29.8471	0	0	132.767	126.74	11.401	11.401	0	0	0	0	0	0	0	0	69.7374	69.7407	214.454	213.778	0	0	0	0	0	0	0	0	0	0	143.515	143.515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	0	0	121.985	7.74608	6.16489	2.83155	7.24139	3.17441	3.33429	2.7287	14.9534	14.101	161.616	28.0236	0	0	282.807	263.184	11.4329	11.4329	0	0	0	0	0	0	0	0	71.7146	71.6988	281.144	277.875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	0	0	147.372	7.69453	6.72194	2.98345	4.08437	2.96125	3.38505	2.75681	15.5682	14.5402	49.7481	23.9001	0	0	0	0	11.465	11.4663	0	0	0	0	0	0	0	0	73.8613	73.8444	532.652	490.579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	0	0	75.7776	6.5259	6.85089	3.10074	4.33643	3.04142	3.46808	2.78673	16.2917	15.0365	141.522	28.829	0	0	0	0	11.4969	11.4969	0	0	0	0	0	0	0	0	76.2712	76.2827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	0	0	35.997	6.36331	6.02767	2.91378	4.6992	3.14279	3.51381	2.81878	17.3065	15.6035	59.7706	27.4957	0	0	0	0	11.5277	11.5277	0	0	0	0	0	0	0	0	79.0079	78.9888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	0	0	181.221	8.4319	5.61867	2.93255	5.31754	3.29169	3.65343	2.85357	18.2787	16.2792	302.12	46.0127	0	0	0	0	11.5586	11.5586	0	0	0	0	0	0	0	0	82.2134	82.1961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	0	0	89.5635	6.46466	5.21902	3.0257	7.15043	3.57912	3.70885	2.89353	19.8133	17.0967	188.795	28.205	0	0	0	0	11.5934	11.5944	0	0	0	0	0	0	0	0	85.8178	85.8363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	0	0	29.204	6.11546	9.63928	3.41486	13.4946	3.83283	3.76214	2.936	21.5596	18.1048	45.2034	21.7601	0	0	0	0	11.6294	11.6294	0	0	0	0	0	0	0	0	89.8856	89.8826	0	0	0	0	0	0	0	0	0	0	0	0	231.049	189.963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	0	0	108.53	7.14192	8.75894	3.36258	4.06471	2.97882	3.92643	2.98292	24.2999	19.444	209.585	34.0544	0	0	0	0	11.662	11.6621	0	0	0	0	0	0	0	0	94.8121	94.7533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	0	0	73.0834	5.82019	6.9838	3.1435	4.31672	3.05256	4.05235	3.03797	29.3885	21.4299	173.299	21.7796	0	0	0	0	11.6937	11.6938	0	0	0	0	0	0	0	0	100.67	100.624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	0	0	27.9274	5.71011	5.95026	3.00654	4.61235	3.14071	4.19277	3.09378	41.9061	25.3951	36.5368	19.3407	0	0	0	0	11.727	11.727	0	0	0	0	0	0	0	0	107.631	107.625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	0	0	139.346	7.59495	6.82041	3.15264	4.99122	3.254	4.47252	3.163	316.017	59.6963	202.003	28.5153	0	0	0	0	11.7615	11.7615	0	0	0	0	0	0	0	0	116.431	116.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80	0	0	29.6163	5.68021	9.5677	3.27157	5.61964	3.41122	4.85211	3.24557	16.9298	16.5868	36.1395	18.9551	0	0	0	0	11.7943	11.7943	0	0	0	0	0	0	0	0	128.365	128.196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81	0	0	104.259	6.69137	5.83595	2.78478	7.89297	3.74885	5.26928	3.35176	17.617	17.2105	212.544	29.0402	0	0	0	0	11.8281	11.8281	0	0	0	0	0	0	0	0	145.476	145.146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82	0	0	51.1973	5.91953	3.68637	2.61989	10.6224	3.7332	6.11188	3.52901	18.4125	17.9223	47.9664	19.281	0	0	0	0	11.8625	11.8624	0	0	0	0	0	0	0	0	173.787	172.926	0	0	0	0	0	0	0	0	0	0	0	0	563.203	387.864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83	0	0	123.286	6.73071	4.13844	2.69205	7.80891	3.64554	8.88037	3.90454	19.2812	18.749	234.527	24.5294	0	0	0	0	11.8971	11.8972	0	0	0	0	0	0	0	0	235.812	232.4	0	0	0	0	0	0	0	0	0	0	0	0	493.753	433.446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84	0	0	117.769	6.32348	7.72082	3.05831	10.0725	3.57967	15.2271	3.92386	20.3758	19.6975	16.7801	14.7351	0	0	0	0	11.9337	11.9337	0	0	0	0	0	0	0	0	446.093	408.479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85	0	0	10.4871	4.53225	4.13158	2.63125	5.6627	3.31979	4.08807	3.02085	21.7495	20.8417	17.1921	15.1353	0	0	0	0	11.9723	11.9726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	0	0	11.4486	4.75751	4.2569	2.73294	7.64405	3.61704	4.27662	3.07496	23.3193	22.2419	18.0023	15.5898	0	0	0	0	12.0087	12.0087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87	0	0	13.2339	5.00323	5.47993	2.96225	11.6443	3.76133	4.45031	3.13502	25.5266	23.9841	19.0005	16.106	0	0	0	0	12.042	12.042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88	0	0	13.8956	5.04939	8.24058	3.15338	7.273	3.25337	4.80501	3.20931	28.1597	26.279	20.0681	16.7072	0	0	0	0	12.0775	12.0776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89	0	0	14.4801	5.10153	6.48484	2.9167	4.93151	3.17191	5.10672	3.29816	32.1155	29.49	21.4765	17.4263	0	0	0	0	12.114	12.114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	0	0	16.5515	5.33432	5.72269	2.79387	5.45869	3.31141	5.69264	3.41468	38.9859	34.467	23.4758	18.3033	0	0	0	0	12.1542	12.1547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91	0	0	21.2676	5.82723	5.49165	3.03287	6.69108	3.54411	6.72438	3.58796	55.5399	44.7352	26.2554	19.4723	0	0	0	0	12.1958	12.1958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92	0	0	77.1923	7.07924	8.00653	3.25341	11.9683	3.97705	9.56588	3.95554	262.7	85.496	31.9392	21.2525	0	0	0	0	12.2325	12.2324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	0	0	70.8721	7.27438	7.22075	3.44786	6.7283	3.4445	15.6683	3.98159	226.044	91.1712	57.0546	25.6792	0	0	0	0	12.2691	12.2692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	0	0	108.294	7.16006	10.4121	3.40161	9.76534	3.66799	5.20773	3.24031	192.748	78.5652	189.891	30.7872	0	0	0	0	12.3067	12.3067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260.694	260.694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95	0	0	89.6012	6.37551	9.80403	3.22778	12.1706	3.6841	6.43249	3.39614	575.463	137.826	36.3777	22.8668	0	0	0	0	12.3416	12.3417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96	0	0	48.7683	5.9483	8.48211	2.90213	4.83339	3.07472	9.29678	3.72484	18.7629	18.766	89.2285	29.8832	0	0	0	0	12.3805	12.3806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	0	0	99.8397	5.92442	6.32485	2.71086	5.66468	3.24725	15.857	3.77903	19.5426	19.5402	194.932	30.6312	0	0	0	0	12.4219	12.422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98	0	0	113.949	6.48273	6.1217	2.9101	8.58512	3.62837	4.01707	2.9324	20.4234	20.4298	212.107	36.3323	0	0	0	0	12.4601	12.4595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260.367	260.367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99	0	0	26.7073	5.5035	7.93227	3.37616	11.322	3.5015	4.17937	2.98472	21.4809	21.4813	50.912	25.3308	0	0	0	0	12.4988	12.4988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	0	0	124.295	6.05911	6.01307	2.66797	5.68267	3.12734	4.32172	3.04837	22.7612	22.7713	233.084	35.1056	0	0	0	0	12.538	12.538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311.454	311.454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101	0	0	23.986	5.13045	4.84037	2.69324	8.9349	3.33069	4.64088	3.12577	24.2353	24.2435	46.359	24.6425	0	0	0	0	12.5789	12.5789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	0	0	121.044	6.33033	9.26025	3.03212	4.97736	3.05673	5.2402	3.22332	26.0067	25.9921	232.381	37.9919	0	0	0	0	12.62	12.6201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	0	0	20.7757	4.92355	4.25535	2.52201	5.85767	3.23525	5.95828	3.37156	28.1569	28.1585	41.0504	23.6218	0	0	0	0	12.6618	12.6619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	0	0	42.8843	5.83238	6.37221	2.64133	9.9835	3.58532	7.96265	3.64813	30.8699	30.8407	81.9126	31.4594	0	0	0	0	12.7032	12.7033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	0	0	210.348	7.10616	3.97347	2.49871	6.44404	3.30388	17.5816	4.10854	34.6479	34.6698	393.035	50.3388	0	0	0	0	12.7484	12.7498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	0	0	15.3787	4.54486	6.8667	2.70485	11.0389	3.69559	3.61769	2.85987	40.2926	40.2103	25.1926	17.803	0	0	0	0	12.7948	12.7948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	0	0	18.5404	4.58243	3.67775	2.46219	12.1589	3.49545	3.78405	2.89529	49.5475	49.4707	31.2578	19.3389	0	0	0	0	12.8351	12.8351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	0	0	27.9256	4.83265	4.38562	2.60006	6.9962	2.89068	3.85165	2.93704	69.4679	68.6463	50.4481	22.7347	0	0	0	0	12.878	12.8781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	0	0	207.544	7.18043	6.97631	2.79373	5.62429	2.92804	4.0882	2.98473	422.776	253.552	301.517	37.0625	0	0	0	0	12.9249	12.9249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.7346	44.7346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	0	0	10.8179	3.9903	6.46801	2.77349	10.34	3.19334	4.14887	3.03476	0	0	18.0255	16.0883	0	0	0	0	12.9704	12.9704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111	0	0	10.1412	3.83838	7.58558	2.57361	4.95454	2.81653	4.326	3.09095	0	0	18.789	16.5962	0	0	0	0	13.0192	13.0193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	0	0	9.86435	3.87417	3.04885	2.31739	6.87878	3.03566	4.5551	3.15139	0	0	19.4121	17.1653	0	0	0	0	13.068	13.068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	0	0	13.0939	4.08178	3.29437	2.38071	12.646	3.28811	4.93419	3.22751	0	0	20.6646	17.8145	0	0	0	0	13.1165	13.1176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197.557	167.749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114	0	0	11.1311	3.92449	3.7799	2.47822	6.07294	2.5911	5.33864	3.32713	0	0	21.8286	18.5757	0	0	0	0	13.1683	13.1682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115	0	0	11.9702	4.08192	6.91528	2.70081	3.51746	2.52849	6.01277	3.46332	0	0	23.2089	19.4727	0	0	0	0	13.2176	13.2177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
