i	j	k	Dose(Gy)
228	0	0	2.53826e-08
229	0	0	2.47612e-08
230	0	0	2.29956e-08
231	0	0	2.66351e-08
232	0	0	3.24827e-08
233	0	0	3.10855e-08
234	0	0	1.81718e-08
235	0	0	1.97238e-08
236	0	0	1.98861e-08
237	0	0	1.77276e-08
238	0	0	1.81104e-08
239	0	0	1.91501e-08
240	0	0	2.04761e-08
241	0	0	1.84431e-08
242	0	0	1.80518e-08
243	0	0	2.0001e-08
244	0	0	1.90006e-08
245	0	0	1.71964e-08
246	0	0	1.59971e-08
247	0	0	1.60605e-08
248	0	0	1.73264e-08
249	0	0	1.70897e-08
250	0	0	1.77496e-08
251	0	0	1.56652e-08
252	0	0	1.6269e-08
253	0	0	1.52568e-08
254	0	0	1.58786e-08
255	0	0	1.75271e-08
256	0	0	1.52404e-08
257	0	0	1.44328e-08
258	0	0	1.34978e-08
259	0	0	1.42727e-08
260	0	0	1.42309e-08
261	0	0	1.54419e-08
262	0	0	1.37903e-08
263	0	0	1.34618e-08
264	0	0	1.49853e-08
265	0	0	1.56031e-08
266	0	0	1.65645e-08
267	0	0	1.42667e-08
268	0	0	1.12227e-08
269	0	0	1.89361e-08
270	0	0	1.10373e-08
271	0	0	1.17766e-08
272	0	0	1.18565e-08
273	0	0	1.23318e-08
274	0	0	1.40394e-08
275	0	0	1.393e-08
276	0	0	1.22546e-08
277	0	0	1.22288e-08
278	0	0	1.15165e-08
279	0	0	1.18263e-08
280	0	0	1.16202e-08
281	0	0	1.18932e-08
282	0	0	1.21221e-08
283	0	0	1.33732e-08
284	0	0	1.18366e-08
285	0	0	1.10825e-08
286	0	0	1.14111e-08
287	0	0	1.16913e-08
288	0	0	1.17128e-08
289	0	0	1.18286e-08
290	0	0	1.23651e-08
291	0	0	1.22238e-08
292	0	0	1.27875e-08
293	0	0	1.25408e-08
294	0	0	1.26076e-08
295	0	0	1.32598e-08
296	0	0	1.34853e-08
297	0	0	1.35839e-08
298	0	0	1.3589e-08
299	0	0	1.38941e-08
300	0	0	1.50217e-08
301	0	0	1.68964e-08
302	0	0	1.45863e-08
303	0	0	1.62438e-08
304	0	0	1.4293e-08
305	0	0	1.572e-08
306	0	0	1.51919e-08
307	0	0	1.53651e-08
308	0	0	1.44795e-08
309	0	0	1.33951e-08
310	0	0	1.39924e-08
311	0	0	1.45946e-08
312	0	0	1.61549e-08
313	0	0	1.89098e-08
314	0	0	2.70887e-08
315	0	0	2.81819e-08
316	0	0	9.43768e-09
317	0	0	9.82522e-09
318	0	0	1.00853e-08
319	0	0	1.04946e-08
320	0	0	1.16549e-08
321	0	0	9.14095e-09
322	0	0	1.59726e-08
323	0	0	1.47392e-08
324	0	0	1.30849e-08
325	0	0	1.11048e-08
326	0	0	9.32043e-09
327	0	0	1.71974e-08
328	0	0	9.24913e-09
329	0	0	9.45982e-09
330	0	0	9.30169e-09
331	0	0	9.71875e-09
332	0	0	1.00466e-08
333	0	0	1.15812e-08
334	0	0	1.05708e-08
335	0	0	1.18819e-08
336	0	0	1.56763e-08
337	0	0	1.29594e-08
338	0	0	9.63623e-09
339	0	0	9.70892e-09
340	0	0	1.02667e-08
341	0	0	1.04096e-08
342	0	0	1.1392e-08
343	0	0	9.58725e-09
344	0	0	9.87451e-09
345	0	0	8.91487e-09
346	0	0	8.49829e-09
347	0	0	8.50735e-09
348	0	0	8.60672e-09
349	0	0	9.42962e-09
